text,source,original_idx,augmentation_method
我是学西班牙语的 老师上课的时候老跟我们说西班牙的海鲜饭特好吃 还说他在西班牙的时候老吃 上礼拜就去了 海鲜饭128快 有点贵,original,10,
每次去来福士逛街都会进去逛下这家店，鞋子都是非常的有设计感，种类很多，样式都十分的漂亮。名字也满好听的，穿起来很舒服。,original,11,
CRISPR到底是怎样的一种技术？是否真的能推动基因治疗？补充，今年获奖了：关于CRISPR全称，具体的机理已经有人回答过了，我来给非生物的朋友解释一下它的伟大之处。在CRISPR没有出现之前，改变一个物种的基因是一件很复杂的事情，转基因技术需要非常熟练的科研人员才能进行操作，需要耗费大量的金钱才能完成，因此转基因技术的应用局限于一些大型的实验室。CRISPR的出现改变了这种状况，因为它相对之前的技术很简单，只需要两个组分就能改变基因，一个组分用来识别你想要改变的地方，另一个组分根据识,original,12,
地方比较干净，环境也还不错，菜味道可以。三文鱼刺身49元斤，分量也算够足。烤生蚝味道也不错；服务还可以，就是上菜有点慢。,original,13,
[南昌市]大众帕萨特降价1.9万 现车充足!促销时间：2015.3.31-2015.4.5日前，搜狐汽车南昌编辑从南昌市大众经销商(江西和平汽车销售服务有限公司)处了解到，店内大众帕萨特火热开售，购帕萨特部分车款优惠1.9万元，现车充足。感兴趣的朋友可致电咨询详情，免费电话400-886-5590转655540。具体车型优惠政策如下：大众帕萨特 厂商指导价 直降 现价 现车情况 询价1.8TSI DSG 30周年纪念版 23.38万 ↓1.9万 21.48万 现车充足致电商家，获取更多优惠信息！免费电话：400-886-5590转655540制表：搜狐汽车南昌站查看更多降价信息请进 降价栏目首页 大众帕萨特 外观 线条美观，有棱有角，体态优美，大气。我选的是釉金，目前在街上看到的不多，有点土豪的赶脚。后部有些溜背，比较象CC！内饰 内饰布局合理，方便。用料也比较精致，镀铬出风口显得很有档次，各种操作按键设计比较人性化。仪表的指针和显示清晰 空间 比较满意，轴距挺长的，前后空间挺大的，尤其后备箱特别大，放个婴儿车什么的，都挺大的。动力 加速有相当的推背感，提速很灵敏。市区驾驶游刃有余，高速驾驶沉着稳定。操控 扎实的底盘，精准的转向，让你操控起来信心十足，对路面的反馈比较到位。（信息来源：南昌 信息员000） 提及搜狐汽车，您将享受更优质的服务。声明：此价格为经销商个体行为，不代表全部经销商。由于市场价格变化多端，文中所报价格仅供参考。,original,14,
如何看待2017年北京高考文科状元熊轩昂的言论？在被问到“是否相信知识可以改变命运”的时候，2017北京高考文科第一名熊轩昂说：高考是阶层性的考试，农村地区越来越很难考出来，我是中产家庭孩子，生在北京，在北京这种大城市能享受到的教育资源，决定了我在学习时能走很多捷径，能看到现在很多状元都是家里厉害，又有能力的人，所以有知识不一定改变命运，但是没有知识一定改变不了命运。<img data-rawheight前一段时间，有一本小说，叫北京折叠。我并没有看这本小说，只是看到这个书名，无奈又感觉哪里恰好契合的让我笑了一声。意思是不是我所想说的：割裂的北京。我和我的好朋友们，美其名曰实习工作，实则类似社会实践一样的在首都呆了不长不短的一段时间。这个年轻人，其实说出了割裂社会里，某一阶级优秀青年代表群的内心真实感受。大部分答案都是在感慨，啊呀，这个小孩这么小其实很通透啊。其实倒不如说，大部分答案的答主并没有,original,15,
很惭愧，身为广州人，竟然不知道烈士陵园里面有个广东革命历史博物馆，如果不是偶尔的发现，还真的不知道何年何月才会发现这里。门票是免费的，广州有这点好，各大公园和部分博物馆免费进入，到其他城市，就无享受过这样的待遇。是一座中间大厅、绕以回廊、两层圆顶的建筑。它原是清末广东咨议局。辛亥革命后，广东人民在这里召开大会，宣布反清独立。1921年5月5日，孙中山就任非常大总统，在这里举行宣誓就职典礼。1925年9月底，成为中国国民党中央党部所在地。国民党第二次全国代表大会和第三次全国劳动大会等重要会议在这里召开，毛泽东主编《政治周报》时在这里办公，谭延闿、李富春主办的中国国民党政治讲习班和何香凝主办的中国国民党妇女运动讲习所在这里上课。它是大革命时期一个重要的革命旧址。该馆以广东人民革命斗争史为基本陈列，介绍从鸦片战争到全国解放这个历史时期广东人民为民族独立解放而进行英勇斗争的历史。其中以第一次国内革命战争时期为重点。又一个值得推介的爱国主义教育基地。,original,16,
非常好的酒店，果然是悦榕庄啊！名不虚传一定要住那个豪华水月阁 床的对面就是个加温的按摩池简直是太浪漫了 西餐厅的套餐也非常出色，尤其是提拉米苏 人间美味还有酒吧 名字太有腔调了 叫酒仙白云中餐厅的东坡肉更要表演销售部的一位姓刘的小姐和一位丁总监在我们入住的时候十分帮忙 表扬！,original,17,
7.20早评API白银天然气原油沥青分析操作策略走过的是时间，看过的是行情，尝过的是盈与亏，回味的是得与失，沉淀的是经验，成就的是境界。善战者，无赫赫战功！市场走势，千变万化，与时俱进，跟随趋势，方能立足。一朵鲜花撑不起美丽的春天，同样一个人的力量也改变不了市场走势，只需在机会来临的时候踏上开往终点的列车，即可得到我们想要的利润。没有人可以回到过去重新开始，但所有的人都可以从现在开始，去书写一个全然不同的结局。原油技术分析：回顾昨日行情：原油昨日小幅高开，亚欧盘行情比较平稳，在小区间内来回震荡，至美盘原油行情大幅波动，上方触及310一线后，快速回落至昨日低点附近，再度反弹。整体上来看作者金赢先锋认为后续原油空头仍占据优势，操作上作者金赢先锋建议还是以高位做空为主，低多为辅。套有多单的朋友可以在下放关键支撑位附近加仓，待行情回调，解套出局，做单的朋友严格止损，做好风险控制。技术面上，原油从四小时走势图来看，布林带整体向下运行，上轨和中轨拐头向下，下轨相对走缓，K线价格在布林带中轨下方窄幅震荡，并受其压制。下方MACD指标在零轴下方形成死叉且继续向下运行，绿色动能柱仍在放量，RSI指标聚拢并拐头向上运行。综合来看，K线价格受布林带中轨和前期高点强力压制，下行势头强劲，但谨防下轨强力支撑，作者金赢先锋预计后续油价将小幅回升再震荡下行。操作上，先锋老师建议以高空为主，低多为辅。美原油操作建议：1、建议在45.7美元附近空单进场，止损0.5美元，目标看44.8美元附近2、建议在44.5美元附近多单进场，止损0.5美元，目标看45.5美元附近天然气行情分析：日线方面来看，均线系统逐渐下行，布林带张口扩大，行情运行于布林下轨上方附近。附图MACD快慢线下行发散，绿柱持续缩量，KDJ指标拐头向上，三线逐渐聚拢形成金叉。四小时图方面；5日均线拐头向下与10日均线粘合，布林带张口走平，行情运行在布林带中轨下方，附图MACD快慢线粘合运行，红色能量柱缩量，KDJ指标死叉下行发散。天然气操作建议：1、未破5060附近空单进，损40点，目标：4900，破位持有；2、未破4880附近多单进，损40点，目标：5050，破位持有；青西大宗天然气操作建议：1、首见4470附近多单进，损40点，目标：5620，破位持有；2、意外下破4450空单进，损40点，目标：4350，破位持有； 白银行情分析：白银方面：从日线图来分析来看，日线连收三根阴线，5日均线有下穿10日均线之势，布林带张口有向下之势，行情运行在布林带上轨下方；作者先锋老师从四小时图来看，K线运行于布林带中轨下方，小时线布林带张口向下，KDJ指标运行于超买区，四小时收线不破布林带中轨压力可以布局空单，下方关注4135附近支撑，目前看回撤的态势仍没有改变，周线支撑在4100附近，短期压力在4220-4230区间，作者金盘先锋预计缠绕下行补跌，继续反弹做空为主，目前白银的价格在接近4220-4230附近时，激进者即可直接做空！白银操作建议：1、建议4220附近空单进场，止损30点，目标4150-4160；2、建议4140附近多单进场，止损30点，目标4180-4210；3、行情瞬息万变，实时做单联系请教本人。今日重点关注财经数据与事件 2016年 7月 20日 周三14:00 德国6月PPI月率16:00 欧元区5月季调后经常帐(亿欧元)16:30 英国6月失业率 英国6月失业金申请人数(万人) 英国5月三个月ILO失业率17:00 瑞士7月ZEW投资者信心指数22:00 美国至7月15日当周EIA原油库存(万桶) 不管你是做实仓，还是模拟，新手还是老手，套单、亏损、还是爆仓都请您调整好心态，尊重市场，跟上我的思路，让你在投资市场重拾信心，一展风采。我们不求一天翻仓、更不求一夜暴富，只求稳健盈利、落袋为安，稳健给单，诚信做人！想在投资中获利，真的没有捷径，只有像苦行僧一样，每日认真作功课，勤于积累，更多交流进除了能提供一些投资经验及学习方法以外，更希望能找到志同道合的投资朋友，一起努力研究，战胜行情，祝各路投资朋友摆脱散户永远输钱的宿命。也希望有更好的机遇为投资者提供良策。如需了解更多原油、沥青、天然气、豆油、贵金属等投资、交易手法、操作技巧以及K线等知识可以关注都可以添加微信:ZDLJ028，微信公号:jaykuaixun01现货快讯之家(长按可复制）进行交流学习。另外我还要说做投资最重要一点：点位到了就干！点位不到就看，做单需要勇气，持单需要勇气！成功不是靠运气，选择大于努力！你赢我陪你君临天下，你输我陪你东山再起。,original,18,
这沐浴露的香味很喜欢,original,19,
正中之变（日语：しょうちゅうの へん）是镰仓时代后期元亨4年9月（西历1333年9月）发生的一次未遂政变。后醍醐天皇策划的讨幕计划被事先发现，首谋者遭到了幕府的处理。虽然当年12月9日才改元为正中元年，但按照习惯史称正中之变。后醍醐天皇从元亨元年（1321年）起开始取代父亲后宇多法皇亲政，并致力于恢复记录庄园券契所。后宇多法皇临终之际下诏，因为皇太子邦良亲王为大觉寺统嫡流（邦良之父为后醍醐天皇兄长后二条天皇），后醍醐天皇有朝一日必须让位邦良亲王。元亨4年6月法皇刚刚驾崩，邦良亲王就立即为了逼后醍醐天皇让位而前往镰仓寻求幕府支持。另外持明院统也以邦良亲王即位后，量仁亲王接任皇太子为条件支持邦良的主张（根据之前文保和谈的约定），镰仓幕府也就决定未来按照这一准则决定皇位継承。然而后醍醐天皇期待着最终能够按照自己的想法施政，在得知自己的身份只不过是一个过渡性的天皇后，除了原本就反感的邦良亲王和持明院统，也对幕府的决定强烈反弹。因此后醍醐天皇计划趁六波罗探题南方・大佛维贞前往镰仓的时机讨幕，为此派侧近日野资朝和日野俊基等人巡回诸国，号召各地的武士和实权派起兵勤王讨幕。当时恶党活动正从几内向各地扩散，奥州的安藤氏之乱也正在加剧，北条得宗家正焦头烂额。后醍醐天皇应该就是打算利用当时的政局不稳，试图把承久之乱之后皇家一直以来的倒幕计划付诸实施。然而9月19日计划被六波罗探题知悉。尽管土岐赖员和多治见国长秘密上洛，但马上就被幕府派人搜捕，双方在四条附近激战，最终二人被逼自尽。六波罗的追查也波及到了朝廷。资朝・俊基等人被治罪，押解到镰仓。资朝被判流放佐渡岛，俊基被赦免归京，但之后被禁足。另一方面，后醍醐天皇派侧近万里小路宣房带着解释信前往镰仓，说明自己跟这次的事变无关，因而免于责罚。军记物语『太平记』在第一卷记述了正中之变的细节：倒幕的秘密会议是以无礼讲（不拘身份的宴会）的名义进行的。参与计划的土岐赖员在某一天夜里把计划泄露给了自己的妻子，而其岳父斋藤利行正是六波罗探题的奉行，倒幕计划因此流产。另外，西大寺的律宗僧人也参与了倒幕。之后建武新政期间担任役职的伊贺兼光和律僧文观被认为也参与了密谋。,original,20,
辘轳首是长颈妖怪的一种，在日本的江户时代流传甚广，通常以女性的形象出现，特征是脖子可以伸缩自如，与井边打水时控制汲水吊桶的辘轳把，性质上颇为相似，故称之为「辘轳首」。与长颈妖怪相关的记载有干宝的《搜神记》，这本书是中国晋代著名的奇谭异闻录，其中提到南方的「落头氏」一族，是这种妖怪的原型，又名「飞头蛮」，此特征与辘轳首并不相同，辘轳首的脖子会突然伸长，但不是像飞头蛮那样，整颗头从脖子的部位与身体彻底分离。长颈妖怪依据精神的自主性，大致区分为两种，一种可以随自己的意念游走，自由飞翔的长颈妖怪；另一种则是无法控制自己会飘到何处，在无意识状态下浮游的长颈妖怪。可以随自己的意念游走的长颈妖怪，会潜入民宅将正在睡眠中的人勒毙，然后用尖锐的牙齿将对方啃蚀殆尽，甚至好几只聚在一起集体行动。由于长颈妖怪的头部和身体经常分离，在脖子的地方，有缠绕著红丝线的习惯，所以地方上有个不成文的禁忌「看到脖子缠红线的女人千万不能娶」，究其原因应该是害怕娶进门的老婆很可能是长颈妖怪的化身。有些人并不知道自己就是长颈妖怪，所以是在无意识的状态下受到某种外力驱使，尽管白天看起来同一般人没什么两样，一旦入夜之后，等到众人进入了梦乡，才会显出妖怪的真面目。首先是脖子突然伸长，接著头部从脖子的部位和身体彻底分离，这时候头部和身体会重新结合在一起，醒来后就像正常人一样行动。本人往往不记得妖怪形态时看到了什么，或做过了什么事。《日本妖怪奇谭》ISBN 9787224085297,original,21,
算命结果非常不好，该如何面对接下来的人生？一个香港师父给我算八字后说我接下来会倒二十年霉！我才二十出头啊 ，这人生还有意思吗？他说我最好呆在家默默工作----------------第一次在问答社区问问题就这么多人回答我，好开心啊！大家的回答都好有帮助启示！至少题猪今天还是lucky day！----------------------------------------------------这两天这么多的回答 题主简直太感动有循循善诱 有一针见血 都十分激励我 改变了我很多想法！现在我懂了 天道酬勤 改变人生就是改变自己！大家的答案我一定都保存 迷茫时拿出来读读 绝对比市面上的励志教材有用几百倍啊 ^O^说实话我想说下 了凡四训 的，结果进来就看到有人已经提了，太上感应篇 嘛又神神鬼鬼不那么让人相信，所以也就不说那些了 自己也初步了解过算命知识，感觉各派并不能完美共容，bug挺多，基本就不可信嘛 民间低水平大师也接触过，滋滋滋不说了 so，我的方案是只听说自己好的，坏的就让他随风去吧去吧去吧,original,22,
电视剧《白鹿原》为什么在播出一集后停播？原定4月16日首播，但播出一集以后就停播。补充书里一段黑我党的言论： 你用列宁的理论判我为贵族并不过分。列宁就是把穷人煽动起来打倒富人消灭富人，结果是富人被消灭了穷人仍然受穷。兆鹏学苏俄在白鹿原上煽动穷汉打倒财东，结果呢？堂堂的农协主任鹿黑娃堕落成了土匪，领着土匪抢银元，刀劈了俺爷又砸断了嘉轩叔的腰杆子作为农协主任没有达到的目的，当了土匪却轻而易举地达到了。你叫我还能信还能再入共产党吗？黑娃们干不成共产党的革命可以当土匪，我可不行呀,original,23,
不论是孩子还是大人都喜欢的一本书画面很美读起来也比较有感觉,original,24,
上门打人逼人脱衣 小小年纪真够狠【概要】宿松高二女生寻衅滋事获刑七个月本报讯（袁勇奇乔剑）因不满前男友和别人谈恋爱，一高二女生多次殴打情敌，并伙同另一女子强拍对方裸照。近日，邓某和杨某被宿松法院以寻衅滋事罪分别判处有期徒刑七个月、六个月。今年16岁的邓某是高二学生，2014年期间，被告人邓某得知被害人何某同其前男友吴某谈恋爱，遂对何某心生怨恨。10月中旬，邓某两次殴打何某，致何某轻微伤。11月3日，邓某同朋友杨某一起进入何某的房间。进去后，邓某先后用网线、伸缩棍等物品对何某实施殴打，杨某亦用伸缩棍对何某实施殴打。为发泄怨气，邓某逼迫何某脱光衣服，喝烟叶泡水，并用竹签刺其胸部，用衣架捅其下体。之后，邓某、杨某将何某带至杨某的出租屋内，继续对何某实施殴打，并用饮料瓶、电视机底座捅，甚至刮其体毛。接着，邓某又将何某带回何某自己的房间继续实施殴打并拍下何某裸照。9时许，邓某等人才离开何某的住处。经安徽省宿松县公安司法鉴定中心鉴定，何某的损伤程度为轻微伤。宿松县人民法院经审理后认为：被告人邓某、杨某随意殴打他人，情节恶劣，其行为已构成寻衅滋事罪。被告人邓某犯罪时不满十八周岁，应当从轻处罚。,original,25,
地道的法国小点心尤其是马卡龙但如果不习惯西式点心的话还是不要太期待的好.可以改去品尝各类小糕点相比之下绝对会很喜欢的.,original,26,
书出的间隔时间太长了而且此类型的书都一起出看的乱套了之前几本的内容已经忘记接不上下次能出厚点的单行本不一把一了的.贵点也行啊太折磨了,original,27,
感觉翻译上没什么大问题感觉不是很生涩 很喜欢内容 翻开就有想一口气看完的感觉,original,28,
地理位置很好，非常大，好幾座樓連在一起，常常會走失，但是服務人員很熱心，管理也比較到位。就是餐廳常常人滿為患，然後也太大了。交通方便，品種繁多，會遇到明星。,original,29,
醉汉撒野 丑态百出[高清版]醉汉撒野丑态百出[高清版],original,30,
单一麦芽威士忌怎么品鉴？剁手节天喵买了瓶本利亚克Benriach经典斯佩塞之心，一路顺丰到手立马开瓶品尝，眠一口，比较平淡，没有强烈的消毒水味，喝不出泥煤味，没有烟熏，很容易入口，没有之前喝调和威士忌那般强烈。本人小白，味蕾没感受过单一麦芽，不甚了解。请问该喝多少单一麦芽威士忌才能分辨出里面的味道本利亚克这个牌子的口碑怎么样？斯佩塞出的单一麦芽是不是口味较轻，易于入门的？如何品尝威士忌请参见答案如何品尝威士忌？- 镜阳秋的回答 如果想大致了解一些常见的单一麦芽威士忌品牌，可以参考答案单一麦芽威士忌有哪些推荐？如果您想“玩得”深一些，还是要理论与实践相结合，仅仅多喝的话容易走弯路或者可能会行程一些主观的错误认识，相关参考书推荐请见答案学习关于红酒与威士忌等知识有哪些资料（书籍视频）推荐？- 镜阳秋的回答 关于Benriach： 非常优秀的经典斯佩塞蒸馏厂，以富,original,31,
如何评价张艺兴对直男的吸引力？迷妹一枚所有周遭看极挑的直男（甚至包括男票）都承认他很帅，很有好感。据说他的男饭也是茶蛋里最多的，发布会男饭大喊我爱你张艺兴，还有跟拍狗仔真心夸赞，甚至地铁大叔亲他海报更别说圈里的大哥小伙伴们了他出了名的讨人喜欢但这是为什么呢（请抓住直男这个重点哟）跟他的长相还是气质有关？我终于可以来回答这个问题了！毕竟一直念文科的我平时都接触不到男人！学工处老师们来检查卫生！一个男老师看到我的台历，拿起来：“这是那个小鲜肉叫什么来着那个” 旁边的其他老师和同学，以及我：“张艺兴。” 男老师：“啊对！这孩子特别好，特别单纯，面相看上去就很朴实。特别适合当男朋友，我要是老丈人，我也喜欢这样的女婿。” 然后巴拉巴拉分析了一段老张的面相。,original,32,
一本与盛名不符的书 我给老版的评论既然有新版了就ZT本来想给2星的因为比起如潮的好评这本书实在是与盛名不符。但是想想其实还是有一定可读性的先给3星吧。用1个月的时间啃完此书。第一个感觉是Covey象其他的西方作者一样很会把一些比较陈旧的论点进行包装建立模型上升到理论高度所以老酒装新瓶。比如双赢啦、把事务通过重要度和紧急度分为4个区间都是些老掉牙的理论了。不过还是要肯定Covey的总结归纳能力的。关于翻译我一直以为是翻得很不错的至少读起来十分贴切和流畅。8过对一个词的翻译让我对整书翻译的准确性产生了怀疑。inside-out翻成了反求诸己但是反求诸己的意思应该是outside-in啊。我没有看过原著也没有动力看但是在这个词后看这本书不得不对翻译的准确程度有了怀疑。一些翻译实在是太中国化了以我看原著并翻译的经验来看多的令人难以置信。当然对整个框架从dependence 到independence 再到interdependence。整个理论框架的确令人耳目一新。最后谈谈书名高效人士的七个习惯其实与其说是给高效人士还不如说是给平衡生活或者幸福生活的因为文章通篇传达了对心灵和对自我价值的重新定义。当然如果书名叫幸福人生的七个习惯估计就没那么畅销了吧。,original,33,
避险支撑金价连涨 下周金市孰重孰轻本周(3月23日-3月27日当周)黄金价格一路飙升，在本周前四个交易日上涨，并且加之上周的升势，金价连升七个交易日，创下了2012年8月来最长升势。不过本周最后一个交易日这样的升势有所放缓。金价连续上涨受到多重因素影响，金价未来走势如何，投资者仍然需要重点关注这些因素。下周(3月30日-4月3日当周)投资者需要关注中东局势的最新进展；重点需要关注美联储动态，以及最为重要的下周五美国 非农就业数据；同时关注实物黄金买盘的变动情况；另外对于希腊债务问题稍加留意。中东局势扑朔迷离，金价受益于避险支撑，投资者需要关注中东局势的进一步进展。阿拉伯世界纷争又起，全球金融市场避险情绪弥漫。本周三媒体报道称，沙特阿拉伯出动战机对也门胡塞反政府武装实施空袭，除了对首都萨那周边进行打击之外，也袭击了一个位于该国南部的军事基地。在发动空袭之后，沙特阿拉伯，阿拉伯联合酋长国，卡塔尔，科威特以及巴林这海湾合作组织六国中的五个成员国发表联合声明，称将在哈迪的请求下组成一个联盟对也门局势实施干预。现货金价也在避险情绪支撑下大幅走高。市场如何看待避险支撑呢？Price Futures Group的分析师Phil Flynn表示，“很多次，市场对类似事件立即作出强烈反应，但在对相关风险进行进一步研究后，人们开始长远地看待事件的影响。” 德国商业银行商品分析师Daniel Briesemann表示，“如果中东局势没有改善，金价可能进一步走强，但如果出现改善，金价可能跌穿1，200美元。”立博塔斯财富管理集团的总裁兼投资组合管理人Adam Koos说，“虽然地缘政治因素总是能够带来短期的价格波动，但是美元才是投资者们应该关注的东西。如果你看到美元下面的陷阱已经打开，那么几乎可以肯定的是，黄金价格将会更大幅度地向上运动。如果美元重归上涨，那么金价的涨势不能持续。”美联储加息忧虑放缓，美元回落也支撑金价，投资者最需要关注美联储动态和美国经济数据。市场对美联储至少在9月前不会升息的预期增强。一项调查显示，华尔街主要银行对美联储升息时机的普遍预期已转变为，联储在至少9月前不会升息。美联储副主席费希尔称，市场“广泛预期”联储将在今年开始升息，不过，政策路径仍不明朗。Logic Advisors的合伙人兼联合创始人Bill O'Neill在谈到现货金在费希尔讲话后续涨时表示。“这是个短期因素。这可能巩固了上周美联储的声明。我认为短期内不会升息。” 花旗的分析师David Wilson表示，“所有看空金市的投资者对6月升息希望破灭非常失望，因此，目前市场臆测将集中在下一次升息的时间上。”总体来看，近来美国公布的经济数据总体疲软也对金价构成了一定的支撑。其中，本周美国2月耐用品订单意外下滑，令金价得到支撑。在美国商务部报告称美国2月份经过季节性因素调整之后的耐用品订单下降1.4%之后，金价继续攀升。令人失望的经济数据降低了近期内加息的可能性。另外本周美国四季度GDP终值数据表现也不及预期。具体数据显示，美国去年四季度实际GDP终值年化月率增长2.2%，预期增长2.4%，修正值增长2.2%。下周美国非农报告袭来。CMC市场的首席市场策略师Colin Cieszynski说，黄金价格在过去几周上涨的背后，一个主要的推动因素是欧洲央行的量化宽松项目。他说，欧洲央行行长德拉基的发言“显示这个项目目前为止进展顺利，这对于黄金价格是有支持作用的”。新德里交易顾问企业英西格尼亚的首席市场分析师Chintan Karnani表示，“我认为交易员们其实是在寻找做空黄金和白银的机会，交易员并没有被说服黄金和白银价格的涨势能够持续。”奥塔维斯特世界贸易公司的联合创始人Erik Gebhard指出，展望未来一周，交易员们将会关注下周五的3月非农就业报告，下周一的2月核心个人消费物价指数。他强调，“就业和通货膨胀数据是联储看重的关键指标，它们都会影响到决策制定者们对何时加息的考量。”实物金买盘不断减少，避险对金价的支撑难持久。本周实物黄金买盘不断减少，表明基金投资人以及亚洲投资人对黄金兴趣降低，也凸显了金价后市或难有重大支撑。贵金属交易商MKS在报告中指出，在目前的价格水准亚洲实货黄金需求减少，未像之前那样支撑市场。金价处于1，145-1，155美元左右时，亚洲实货黄金需求曾支撑市场。本周实货需求也在放缓，受金价上涨拖累。显示实货需求的中国黄金溢价降至约2-3美元，上周为6-7美元。中国为全球第二大黄金消费国。全球最大黄金支持上市交易基金(ETF)SPDR Gold Trust 持金量持续流出。本周全球最大黄金ETF--SPDR Gold Trust 持仓也持续流出，这显示投资人对金价升势保持谨慎。希腊忧虑挥之不去，市场对希腊最终能够达成援助协议的乐观情绪暂时未给金价带来进一步支撑。希腊方面的不安情绪似乎对欧元的打压有限。RBS Securities美国公债策略师Ed Atkins表示，“市场对希腊而言无疑是非常重要的。不安情绪高涨，但仍对希腊将同债权人找到解决办法感到乐观。”希腊政府官员称已经向债权人发送了改革措施清单。CNCB周五报道，希腊政府官员称已经向债权人发送了各方期待已久的改革措施清单，希望通过一个在2015年实现小规模预算盈余的承诺来换取该国迫切需要的现金注入。一名欧元区官员说，被称为布鲁塞尔集团的欧盟和国际货币基金组织团队将从周五晚些时候开始讨论这份清单，不过也有一名希腊官员称评估应该会在周六进行。一旦获得他们的批准，并得到欧元区财政部长们的赞同，希腊将会获得援助项目下一批款项的发放，从而避免可能的破产局面。不过也有众多人士对希腊的未来局势表现担忧。GoldCore公司董事Mark O’Byrne表示：“由于担心希腊爆发债务危机，黄金将会得到这一潜在因素的持续支撑。希腊债务问题的爆发看起来很快就会发生了。该国迅速用光现金，并且退出欧元区、重新启用德拉克马的风险也在与日俱增。,original,34,
