text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , source      , original_idx, text_length, augmentation_method
在被问到“是否相信知识可以改变命运”的时候，2017北京高考文科第一名熊轩昂说：高考是阶层性的考试，农村地区越来越很难考出来，我是中产家庭孩子，生在北京，在北京这种大城市能享受到的教育资源，决定了我在学习时能走很多捷径，能看到现在很多状元都是家里厉害，又有能力的人，所以有知识不一定改变命运，但是没有知识一定改变不了命运。<img data-rawheight前一段时间，有一本小说，叫北京折叠。我并没有看这本小说，只是看到这个书名，无奈又感觉哪里恰好契合的让我笑了一声。                                , original    ,           10,         236, 
意思是不是我所想说的：割裂的北京。我和我的好朋友们，美其名曰实习工作，实则类似社会实践一样的在首都呆了不长不短的一段时间。这个年轻人，其实说出了割裂社会里，某一阶级优秀青年代表群的内心真实感受。大部分答案都是在感慨，啊呀，这个小孩这么小其实很通透啊。                                                                                                                                                                                                                                     , original    ,           11,         125, 
门票是免费的，广州有这点好，各大公园和部分博物馆免费进入，到其他城市，就无享受过这样的待遇。是一座中间大厅、绕以回廊、两层圆顶的建筑。它原是清末广东咨议局。辛亥革命后，广东人民在这里召开大会，宣布反清独立。1921年5月5日，孙中山就任非常大总统，在这里举行宣誓就职典礼。1925年9月底，成为中国国民党中央党部所在地。                                                                                                                                                                          , original    ,           12,         160, 
国民党第二次全国代表大会和第三次全国劳动大会等重要会议在这里召开，毛泽东主编《政治周报》时在这里办公，谭延闿、李富春主办的中国国民党政治讲习班和何香凝主办的中国国民党妇女运动讲习所在这里上课。它是大革命时期一个重要的革命旧址。该馆以广东人民革命斗争史为基本陈列，介绍从鸦片战争到全国解放这个历史时期广东人民为民族独立解放而进行英勇斗争的历史。其中以第一次国内革命战争时期为重点。                                                                                                     , original    ,           13,         189, 
善战者，无赫赫战功！市场走势，千变万化，与时俱进，跟随趋势，方能立足。一朵鲜花撑不起美丽的春天，同样一个人的力量也改变不了市场走势，只需在机会来临的时候踏上开往终点的列车，即可得到我们想要的利润。没有人可以回到过去重新开始，但所有的人都可以从现在开始，去书写一个全然不同的结局。原油技术分析：回顾昨日行情：原油昨日小幅高开，亚欧盘行情比较平稳，在小区间内来回震荡，至美盘原油行情大幅波动，上方触及310一线后，快速回落至昨日低点附近，再度反弹。                                      , original    ,           14,         222, 
整体上来看作者金赢先锋认为后续原油空头仍占据优势，操作上作者金赢先锋建议还是以高位做空为主，低多为辅。套有多单的朋友可以在下放关键支撑位附近加仓，待行情回调，解套出局，做单的朋友严格止损，做好风险控制。技术面上，原油从四小时走势图来看，布林带整体向下运行，上轨和中轨拐头向下，下轨相对走缓，K线价格在布林带中轨下方窄幅震荡，并受其压制。下方MACD指标在零轴下方形成死叉且继续向下运行，绿色动能柱仍在放量，RSI指标聚拢并拐头向上运行。                                                   , original    ,           15,         218, 
综合来看，K线价格受布林带中轨和前期高点强力压制，下行势头强劲，但谨防下轨强力支撑，作者金赢先锋预计后续油价将小幅回升再震荡下行。操作上，先锋老师建议以高空为主，低多为辅。美原油操作建议：1、建议在45.7美元附近空单进场，止损0.5美元，目标看44.8美元附近2、建议在44.5美元附近多单进场，止损0.5美元，目标看45.5美元附近天然气行情分析：日线方面来看，均线系统逐渐下行，布林带张口扩大，行情运行于布林下轨上方附近。                                                                            , original    ,           16,         214, 
附图MACD快慢线下行发散，绿柱持续缩量，KDJ指标拐头向上，三线逐渐聚拢形成金叉。四小时图方面；5日均线拐头向下与10日均线粘合，布林带张口走平，行情运行在布林带中轨下方，附图MACD快慢线粘合运行，红色能量柱缩量，KDJ指标死叉下行发散。天然气操作建议：1、未破5060附近空单进，损40点，目标：4900，破位持有；2、未破4880附近多单进，损40点，目标：5050，破位持有；青西大宗天然气操作建议：1、首见4470附近多单进，损40点，目标：5620，破位持有；                                                       , original    ,           17,         237, 
2、意外下破4450空单进，损40点，目标：4350，破位持有；白银行情分析：白银方面：从日线图来分析来看，日线连收三根阴线，5日均线有下穿10日均线之势，布林带张口有向下之势，行情运行在布林带上轨下方；                                                                                                                                                                                                                                                                                                 , original    ,           18,         102, 
作者先锋老师从四小时图来看，K线运行于布林带中轨下方，小时线布林带张口向下，KDJ指标运行于超买区，四小时收线不破布林带中轨压力可以布局空单，下方关注4135附近支撑，目前看回撤的态势仍没有改变，周线支撑在4100附近，短期压力在4220-4230区间，作者金盘先锋预计缠绕下行补跌，继续反弹做空为主，目前白银的价格在接近4220-4230附近时，激进者即可直接做空！白银操作建议：1、建议4220附近空单进场，止损30点，目标4150-4160；                                                                             , original    ,           19,         224, 
2、建议4140附近多单进场，止损30点，目标4180-4210；3、行情瞬息万变，实时做单联系请教本人。                                                                                                                                                                                                                                                                                                                                                                                                      , original    ,           20,          53, 
今日重点关注财经数据与事件 2016年 7月 20日 周三14:00 德国6月PPI月率16:00 欧元区5月季调后经常帐(亿欧元)16:30 英国6月失业率 英国6月失业金申请人数(万人) 英国5月三个月ILO失业率17:00 瑞士7月ZEW投资者信心指数22:00 美国至7月15日当周EIA原油库存(万桶) 不管你是做实仓，还是模拟，新手还是老手，套单、亏损、还是爆仓都请您调整好心态，尊重市场，跟上我的思路，让你在投资市场重拾信心，一展风采。                                                                                                    , original    ,           21,         225, 
我们不求一天翻仓、更不求一夜暴富，只求稳健盈利、落袋为安，稳健给单，诚信做人！想在投资中获利，真的没有捷径，只有像苦行僧一样，每日认真作功课，勤于积累，更多交流进除了能提供一些投资经验及学习方法以外，更希望能找到志同道合的投资朋友，一起努力研究，战胜行情，祝各路投资朋友摆脱散户永远输钱的宿命。也希望有更好的机遇为投资者提供良策。                                                                                                                                                     , original    ,           22,         165, 
如需了解更多原油、沥青、天然气、豆油、贵金属等投资、交易手法、操作技巧以及K线等知识可以关注都可以添加微信:ZDLJ028，微信公号:jaykuaixun01现货快讯之家(长按可复制）进行交流学习。另外我还要说做投资最重要一点：点位到了就干！点位不到就看，做单需要勇气，持单需要勇气！成功不是靠运气，选择大于努力！                                                                                                                                                                                            , original    ,           23,         157, 
后醍醐天皇策划的讨幕计划被事先发现，首谋者遭到了幕府的处理。虽然当年12月9日才改元为正中元年，但按照习惯史称正中之变。后醍醐天皇从元亨元年（1321年）起开始取代父亲后宇多法皇亲政，并致力于恢复记录庄园券契所。后宇多法皇临终之际下诏，因为皇太子邦良亲王为大觉寺统嫡流（邦良之父为后醍醐天皇兄长后二条天皇），后醍醐天皇有朝一日必须让位邦良亲王。元亨4年6月法皇刚刚驾崩，邦良亲王就立即为了逼后醍醐天皇让位而前往镰仓寻求幕府支持。                                                            , original    ,           24,         214, 
另外持明院统也以邦良亲王即位后，量仁亲王接任皇太子为条件支持邦良的主张（根据之前文保和谈的约定），镰仓幕府也就决定未来按照这一准则决定皇位継承。然而后醍醐天皇期待着最终能够按照自己的想法施政，在得知自己的身份只不过是一个过渡性的天皇后，除了原本就反感的邦良亲王和持明院统，也对幕府的决定强烈反弹。因此后醍醐天皇计划趁六波罗探题南方・大佛维贞前往镰仓的时机讨幕，为此派侧近日野资朝和日野俊基等人巡回诸国，号召各地的武士和实权派起兵勤王讨幕。                                         , original    ,           25,         219, 
当时恶党活动正从几内向各地扩散，奥州的安藤氏之乱也正在加剧，北条得宗家正焦头烂额。后醍醐天皇应该就是打算利用当时的政局不稳，试图把承久之乱之后皇家一直以来的倒幕计划付诸实施。然而9月19日计划被六波罗探题知悉。尽管土岐赖员和多治见国长秘密上洛，但马上就被幕府派人搜捕，双方在四条附近激战，最终二人被逼自尽。六波罗的追查也波及到了朝廷。资朝・俊基等人被治罪，押解到镰仓。资朝被判流放佐渡岛，俊基被赦免归京，但之后被禁足。                                                                , original    ,           26,         209, 
另一方面，后醍醐天皇派侧近万里小路宣房带着解释信前往镰仓，说明自己跟这次的事变无关，因而免于责罚。军记物语『太平记』在第一卷记述了正中之变的细节：倒幕的秘密会议是以无礼讲（不拘身份的宴会）的名义进行的。参与计划的土岐赖员在某一天夜里把计划泄露给了自己的妻子，而其岳父斋藤利行正是六波罗探题的奉行，倒幕计划因此流产。另外，西大寺的律宗僧人也参与了倒幕。                                                                                                                                 , original    ,           27,         175, 
与长颈妖怪相关的记载有干宝的《搜神记》，这本书是中国晋代著名的奇谭异闻录，其中提到南方的「落头氏」一族，是这种妖怪的原型，又名「飞头蛮」，此特征与辘轳首并不相同，辘轳首的脖子会突然伸长，但不是像飞头蛮那样，整颗头从脖子的部位与身体彻底分离。长颈妖怪依据精神的自主性，大致区分为两种，一种可以随自己的意念游走，自由飞翔的长颈妖怪；另一种则是无法控制自己会飘到何处，在无意识状态下浮游的长颈妖怪。                                                                                       , original    ,           28,         196, 
可以随自己的意念游走的长颈妖怪，会潜入民宅将正在睡眠中的人勒毙，然后用尖锐的牙齿将对方啃蚀殆尽，甚至好几只聚在一起集体行动。由于长颈妖怪的头部和身体经常分离，在脖子的地方，有缠绕著红丝线的习惯，所以地方上有个不成文的禁忌「看到脖子缠红线的女人千万不能娶」，究其原因应该是害怕娶进门的老婆很可能是长颈妖怪的化身。有些人并不知道自己就是长颈妖怪，所以是在无意识的状态下受到某种外力驱使，尽管白天看起来同一般人没什么两样，一旦入夜之后，等到众人进入了梦乡，才会显出妖怪的真面目。       , original    ,           29,         236, 
虽然门面已经变小了，但营业还是不容易。我们和老板都很辛苦。自助餐可以比平时吃得多，但绝不能浪费。想要退回20元是不可能的，所以还是别去吧。菜品真的很普通，洗干净就行。                                                                                                                                                                                                                                                                                                                           , augmented_v1,            0,          83, prompt_1
"**正式版**
雖然門面已經縮小了一圈，但仍然營業並不容易。我們與老闆都面臨不少困難。自助餐雖然可以比平時吃得多，但絕不能浪費。若想退回 20 元，這是不可能的，還是別去吧。菜真的很一般，洗乾淨就好。

**口語版**
門面雖然小了點，但還是開著不容易啊。咱們不容易，老闆也不容易。自助餐你可以吃得比平時多，但一定別浪費。想吃回 20 块，那是不可能的，還是別去吧。菜真的很一般，洗乾淨就行啦。"                                                                                                                                                                                                                                                                                                                    , augmented_v2,            0,         201, prompt_2
据悉，35路公交在从兰州西客站前往美伦广场时，兰州西客站至白塔山公园的段落保持不变；随后在北滨河路九州大道南口左转，沿九州大道驶向庙滩子，恢复原有线路；而从美伦广场返回兰州西客站时，线路从美伦广场到庙滩子不变，随后左转进入九州大道，直达北滨河路市二医院，亦恢复原线路。81路公交从市二医院驶往省军干所时，途经北滨河路九州大道南口左转，沿九州大道至庙滩子，恢复原线路；从省军干所返回市二医院时，省军干所至庙滩子段保持不变，随后左转进入九州大道，直达市二医院。                           , augmented_v1,            1,         228, prompt_1
"**口語版（隨性、親切的說法）**

聽說，35路巴士從「西客站」開往「美倫廣場」時，路線跟以前一樣：先往「白塔山公園」走，然後在北濱河路跟九州大道的南口左轉，進九州大道再往「庙滩子」走，這段路就恢復原來的路線。
如果是從「美倫廣場」開回「西客站」的話，從「美倫廣場」到「庙滩子」的路也不變，然後左轉進九州大道，往「北濱河路市二醫院」方向，這段也恢復原來的路線。

至於81路巴士，從「市二醫院」開往「省軍干所」時，路線跟以前一樣：先往「北濱河路」再左轉進九州大道，往「庙滩子」走，這段就恢復原來的路線。
如果是從「省軍干所」開回「市二醫院」的話，從「省軍干所」到「庙滩子」的路不變，然後左轉進九州大道，往「市二醫院」方向，這段也恢復原來的路線。"                                                                                                                                                                                                                                                                                                                                                  , augmented_v2,            1,         327, prompt_2
108路公交线路从九州创城B区发往兰州西客站时，九州创城B区至朝阳村路口段保持不变，随后直行进入九州大道，直至北滨河路市二医院，恢复原线路运行；从兰州西客站发往九州创城B区时，兰州西客站至白塔山公园段亦保持不变，途经北滨河路九州大道南口左转进入九州大道，直至朝阳村路口，恢复原线路运行。                                                                                                                                                                                                       , augmented_v1,            2,         143, prompt_1
"**口語化版本**

108路公交從九州創城B區開往蘭州西客站，路線不變，直接往九州大道直行，然後到北濱河路再往市二醫院，跟原來的路線一樣走。
如果是從蘭州西客站開往九州創城B區，路線也不變，先往白塔山公園，然後經北濱河路轉左進九州大道，最後到朝陽村路口，還是照原來的路線走。"                                                                                                                                                                                                                                                                                                                                                           , augmented_v2,            2,         140, prompt_2
在选拔中表现最突出的两名选手将前往英国曼联青训学院进行为期一周的训练。该项目是曼联足球学校国际训练计划的一部分，并且同时在英国、阿布扎比、迪拜、印度和中国等地同步开展。2012年的训练安排为7月16日至27日。                                                                                                                                                                                                                                                                                      , augmented_v1,            3,         105, prompt_1
"**正式版（略作調整）**
在最後的選拔中，表現最優秀的兩位選手將前往英國曼聯青訓學院進行為期一週的訓練。此計畫是曼聯足球學校國際訓練計畫的一部分，並同時在英國、阿布達比、杜拜、印度及中國舉辦。2012 年的訓練課程於 7 月 16 日至 27 日舉行。

---

**口語版**
最後選拔時，表現最好的兩位選手會去英國曼聯青訓學院訓練一週。這是曼聯足球學校國際訓練計畫的一部分，還會在英國、阿布達比、杜拜、印度和中國同時舉辦。2012 年的訓練是在 7 月 16 號到 27 號。"                                                                                                                                                                                                                                                                                                      , augmented_v2,            3,         246, prompt_2
"从大姚的演讲中可以看出：
1. 他英语水平很高，并且已经掌握了美国式幽默；
2. 在NBA期间，他遇到了不少贵人，得到了他们的帮助，使他能够走到今天的成功，而他本人也非常懂得感恩。
可以说，这两点是他能够取得如今成就的关键。"                                                                                                                                                                                                                                                                                                                                                                                                                                                    , augmented_v1,            4,         118, prompt_1
"从大姚的演讲里可以看出来：
1️⃣ 他英语说得挺好，还学会了美国人的幽默。
2️⃣ 在NBA里，他遇到不少贵人，大家都给了他不少帮助，让他能站到今天这一步，而大姚也很懂得感恩。

这两点，基本上就是他能取得现在成就的关键。"                                                                                                                                                                                                                                                                                                                                                                                                                                                    , augmented_v2,            4,         117, prompt_2
"**改寫版**

弟子世行代答：
古人云，若读《出师表》时不流泪，则必不忠；若读《陈情表》时不流泪，则必不孝；若读祭十二郎文时不流泪，则必不悌。

某年某月某日，季父在得知汝丧事七日后，终于能衔接哀思，诚心致敬，遂在建中远处奉上时令之奠，告诫汝十二郎之灵：
“呜呼！我年少时孤独，长大后亦不知所依，唯有兄嫂为我依靠。中年时，兄在南方去世，我与汝同为幼子，随嫂归葬河阳。随后又与汝同住江南。虽零丁孤苦，却未曾有一天离开彼此。上有三兄，皆不幸早逝。继承先人之志，先在孙辈中是汝，在子辈中是吾。”"                                                                                                                                                                                                                                                        , augmented_v1,            5,         251, prompt_1
"**口語版**
弟子世行代答：
古人說，讀《出師表》不流淚的人，肯定不忠；讀《陳情表》不流淚的人，肯定不孝；讀《祭十二郎》不流淚的人，肯定不悌。
某年某月某日，季父聽說你丟了七天後，終於能衔哀誠懇，給建中遠做了時羞之奠，告訴十二郎的靈魂：
「哎呀！我小時候孤單，長大後也不懂得依靠，只有兄嫂是我的依靠。中年時，兄長在南方去世，我和你還小，跟嫂子一起回去葬了河陽。之後又跟你一起吃飯在江南。零丁孤苦，從未離開過一天。我的上面有三兄，大家都不幸早逝。承先人的是孫惟汝，後代是子惟吾。」

---

**正式版**
弟子世行代答：
古人云，讀《出師表》不泪者，必不忠；讀《陳情表》不泪者，必不孝；讀《祭十二郎》不泪者，必不悌。
某年某月某日，季父聞汝丧之七日後，方能衔哀致诚，奉建中远以时羞之奠，告汝十二郎之灵：
「呜呼！吾少孤，及长，不省所怙，惟兄嫂为依。中年，兄殁南方，吾与汝俱幼，随嫂归葬河阳。既又与汝就食江南。零丁孤苦，未尝一日相离也。吾上有三兄，皆不幸早世。承先人后者，在孙惟汝，在子惟吾。」"                                                                                                                                                                                                                                                                                                  , augmented_v2,            5,         466, prompt_2
我一直很好奇陶老师——被公认为天才的人——在他手下读博到底是什么体验。顺便提一句，网站上可以看到他的学生名单，随便回答一个无关的问题也能找到他。某天我去听他讲座，稍微迟到了，挤进门口的一个角落，发现旁边站着的正是陶老师。那时他也站着，没人给他让座，也没人理他。那一刻，我觉得我们俩的地位可能是最平等的——我想偷偷拍张合影，却不敢。听着听着，他还轻轻笑了一下，我站在那里一头雾水地听着，琢磨着笑点在哪。结果到最后我还是没听懂，陶老师还提了个问题，语速极快，我既听不懂问题，也听不懂答案。 , augmented_v1,            6,         242, prompt_1
我對陶先生的才華深感好奇，他被公認為天才。想了解在他的指導下攻讀博士的感受。順便補充，網站上可以查看陶先生的學生名單，但我卻被迫回答一個與此無關的問題。某天我去聽講座，稍晚到達，挤在門口的一個角落，發現旁邊站著的正是陶先生。沒有人讓座，也沒有人理會。那一刻，我覺得我們之間的地位最平等，想偷偷拍一張合影，卻不敢。聽講時，他輕聲笑了一下，我站在那裡茫然地聽著，試圖弄清笑點。最終，我並未完全聽懂講座內容，陶先生還提了一個問題，語速很快，我既沒聽懂問題，也沒聽懂答案。               , augmented_v2,            6,         232, prompt_2
是否真能推动基因治疗？补充一下，今年获得了奖项：关于CRISPR的全称和具体机制，已有专家给出了答案。下面我来向非专业人士阐释它的伟大之处。早在CRISPR出现之前，改造一个物种的基因是一件极其繁琐的工作。转基因技术需要极高的专业技能和大量资金投入，因而只能在大型实验室里使用。                                                                                                                                                                                                                     , augmented_v1,            7,         139, prompt_1
"**正式版**
是否真的能推動基因治療？今年又獲得了獎項：關於 CRISPR 的全稱及其具體機理，已有人作過詳細說明。以下將為非生物學背景的朋友簡要說明其偉大之處。
在 CRISPR 出現之前，改變一個物種的基因是一件極其複雜的任務。轉基因技術需要高度熟練的科研人員操作，且成本高昂，因而其應用主要局限於大型實驗室。

---

**口語版**
你真的覺得基因治療能搞定嗎？今年又有人拿獎啦！關於 CRISPR 的全名和它到底怎麼運作，已經有人說過了，這裡我來跟不懂生物的朋友說說它有多厲害。
在 CRISPR 出現之前，想改變一個物種的基因可真麻煩，得有超熟練的科學家才能操作，還要花大把錢，結果只能在大實驗室裡做。"                                                                                                                                                                                                                                                                                                                                                                          , augmented_v2,            7,         317, prompt_2
"如果您对该车型感兴趣，欢迎随时致电咨询，免费电话 400‑886‑5590 转 655540。以下为大众帕萨特的优惠详情：

| 车型 | 厂商指导价 | 直降 | 现价 | 现车情况 |
|------|------------|------|------|----------|
| 1.8 TSI DSG 30 周年纪念版 | 23.38 万元 | ↓1.9 万元 | 21.48 万元 | 现车充足 |

如需了解更多优惠信息，请致电商家。免费电话：400‑886‑5590 转 655540。
（表格来源：搜狐汽车南昌站，更多降价信息请访问降价栏目首页）

**外观点评**
大众帕萨特的线条流畅、棱角分明，整体造型优雅大气。我选择的是釉金色，街头很少见到，显得略带土豪气质。后部采用溜背设计，颇有 CC 的风格。"                                                                                                                                                                                                                                                                                                                                                        , augmented_v1,            8,         366, prompt_1
"**正式版**
尊敬的顧客，若您對本車型感興趣，歡迎致電免費電話 400‑886‑5590 分機 655540 進一步諮詢。以下為具體車型優惠政策：

| 車型 | 廠商指導價 | 直降 | 現價 | 現車情況 |
|------|------------|------|------|----------|
| 大眾帕薩特 1.8 TSI DSG 30 周年紀念版 | 23.38 萬元 | ↓1.9 萬元 | 21.48 萬元 | 現車充足 |

欲了解更多優惠資訊，請致電商家。
**免費電話：400‑886‑5590 分機 655540**
（搜狐汽車南昌站）
更多降價資訊請進「降價」栏目首頁。

**外觀**
線條美觀、棱角分明，體態優雅大氣。本人選擇的是釉金色，街上較少見，略顯土豪風格。後部略呈溜背設計，類似 CC 車型。

---

**口語版**
想了解更多的朋友可以直接打電話來，免費號碼 400‑886‑5590 分機 655540。以下是具體的車型優惠：

| 車型 | 廠商指導價 | 直降 | 現價 | 現車情況 |
|------|------------|------|------|----------|
| 大眾帕薩特 1.8 TSI DSG 30 周年紀念版 | 23.38 萬元 | ↓1.9 萬元 | 21.48 萬元 | 現車充足 |

想知道更多優惠，直接打電話給商家就好。
**免費電話：400‑886‑5590 分機 655540**
（搜狐汽車南昌站）
想看更多降價資訊，進「降價」栏目首頁。

**外觀**
線條挺好看的，棱角分明，氣質優雅大氣。本人選的是釉金色，街上不太常見，感覺有點土豪。後面有點溜背，跟 CC 差不多！"                                                                                                                                                                                                                                                                                                                                                                              , augmented_v2,            8,         760, prompt_2
内饰方面，车内布局合理、使用便捷。材质精致，镀铬的进气口更添高档气质，各种操作按键设计人性化。仪表盘上的指针与显示都十分清晰。空间方面，轴距相当长，前后舱内空间宽敞，尤其后备厢容量巨大，足以放置婴儿车等大型物品。动力表现上，加速时有明显的推背感，提速灵敏。市区行驶顺畅，高速行驶稳健。操控方面，底盘扎实、转向精准，让驾驶者信心十足，路面反馈到位。（信息来源：南昌信息员000）提及搜狐汽车，您将享受更优质的服务。声明：此价格为经销商个体行为，不代表全部经销商。                      , augmented_v1,            9,         230, prompt_1
"**正式版（更為書面化）**

內裝設計合理、佈局得體，使用材料亦相當精緻。鏡面鍍鉻的出風口增添了質感，操作按鍵設計人性化。儀表盤的指針與顯示清晰易讀。空間方面，車身軸距較長，前後座椅空間寬敞，尤其後備箱容積大，可輕鬆放置嬰兒車等大型物品。動力表現方面，加速帶來相當的推背感，提速靈敏。市區行駛順暢，高速行駛則沉著穩定。操控方面，底盤扎實、轉向精準，讓駕駛者充滿信心，路面回饋亦相當到位。（資訊來源：南昌資訊員000）
提及搜狐汽車，您將享受更優質的服務。
聲明：此價格為經銷商個體行為，不代表全部經銷商。

---

**口語版（更隨意、日常化）**

內裝布局挺合理，方便用。材料也很精緻，出風口的鏡面鍍鉻看起來很有格調，按鍵設計也很人性化。儀表盤的指針和顯示都很清楚。空間方面，車子軸距長，前後座位都挺寬敞，後備箱更是大到能放個嬰兒車。動力方面，起步有推背感，提速很靈敏。市區開車輕鬆自在，高速開也很穩定。操控上，底盤扎實、轉向準確，開起來讓人很有信心，路面感覺也很到位。（資訊來源：南昌資訊員000）
提到搜狐汽車，能享受更好的服務。
說明：這個價格是個別經銷商的行為，並不代表所有經銷商。"                                                                                                                                                                                                                                                                                                                                                                                                                                        , augmented_v2,            9,         507, prompt_2
当有人问他是否相信知识能改变命运时，2017 年北京高考文科第一名熊轩昂回答：高考本身是一场阶层分化的考试，农村地区的考生越来越难突破。我来自中产家庭，出生在北京，能享受到这座大城市的教育资源，这使我在学习过程中能走许多捷径。如今许多状元都来自实力雄厚、资源丰富的家庭，这让我认为，拥有知识并不一定能改变命运，但缺乏知识却一定无法改变命运。<img data-rawheight>前段时间，我看到一本名为《北京折叠》的小说，虽然我并未阅读，却因书名与我的经历不谋而合而不禁笑出声来。                      , augmented_v1,           10,         241, prompt_1
在被問到「你相信知識能改變命運嗎？」時，2017年北京高考文科第一名的熊軒昂這樣說：「高考是一個階層化的考試，農村地區越來越難考進去，我是中產家庭的孩子，出生在北京，能享受到大城市的教育資源，這決定了我學習時能走很多捷徑。現在很多狀元都是家裡有勢又有能力的人，所以有知識不一定能改變命運，但沒有知識肯定改不了命運。」<img>前一陣子有本小說叫《北京折疊》，我沒看過，只是看到書名，感覺好像很貼切，忍不住笑了一聲。                                                                          , augmented_v2,           10,         207, prompt_2
这段话的意思是不是我想表达的：北京被割裂了。我和我的好友们，表面上称之为“实习工作”，实际上更像一次社会实践，在首都度过了一段既不短也不长的时光。这个年轻人实际上说出了在被割裂的社会中，某一阶级优秀青年代表群体的内心真实感受。大多数回应都是感叹：“哇，这个孩子这么小，却如此通透啊。”                                                                                                                                                                                                       , augmented_v1,           11,         142, prompt_1
請問您想將這段文字改為正式風格還是口語風格？如果您想要兩種版本，我也可以一次性提供。                                                                                                                                                                                                                                                                                                                                                                                                           , augmented_v2,           11,          42, prompt_2
