text,text_length,category,success,authenticity_score,mainland_terms,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
很惭愧，身为广州人，竟然不知道烈士陵园里面有个广东革命历史博物馆，如果不是偶尔的发现，还真的不知道何年何月才会发现这里。门票是免费的，广州有这点好，各大公园和部分博物馆免费进入，到其他城市，就无享受过这样的待遇。是一座中间大厅、绕以回廊、两层圆顶的建筑。它原是清末广东咨议局。辛亥革命后，广东人民在这里召开大会，宣布反清独立。1921年5月5日，孙中山就任非常大总统，在这里举行宣誓就职典礼。1925年9月底，成为中国国民党中央党部所在地。国民党第二次全国代表大会和第三次全国劳动大会等重要会议在这里召开，毛泽东主编《政治周报》时在这里办公，谭延闿、李富春主办的中国国民党政治讲习班和何香凝主办的中国国民党妇女运动讲习所在这里上课。它是大革命时期一个重要的革命旧址。该馆以广东人民革命斗争史为基本陈列，介绍从鸦片战争到全国解放这个历史时期广东人民为民族独立解放而进行英勇斗争的历史。其中以第一次国内革命战争时期为重点。又一个值得推介的爱国主义教育基地。,426,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
"如何评价张艺兴对直男的吸引力？我是一名迷妹，身边所有挑剔的直男，甚至包括我的男票，都承认他很帅并对他产生好感。有人说他的男粉丝在茶蛋中最多，发布会上男粉大喊“我爱你张艺兴”，跟拍狗仔也真诚地夸赞。甚至连地铁大叔都亲吻他的海报，更不用说圈内的兄弟姐妹们了。张艺兴以讨人喜欢著称，但这究竟是因为他的长相还是气质？我终于可以来回答这个问题了！毕竟我一直念文科，平时很少接触男人。

学工处的老师们来检查卫生时，有位男老师看到我的台历，举起来说：“这是那个小鲜肉叫什么来着？”旁边的老师和同学，以及我，都说：“张艺兴。”男老师继续说：“啊，对！这孩子特别好，特别单纯，面相看上去很朴实。特别适合当男朋友，如果我是老丈人，我也会喜欢这样的女婿。”随后他又分析了一段关于老张的面相。",335,通用簡體中文,False,0,,,,,,,
"大家好，南昌的朋友们注意啦！  
搜狐汽车南昌站告诉你，江西和平汽车销售服务有限公司（就是我们当地的那家大众经销商）现在正热销大众帕萨特，部分车型直接优惠1.9万元，现车充足，快来抢购吧！  

**促销时间**：2015年3月31日到4月5日  
**优惠车型**：  
- 1.8TSI DSG 30周年纪念版  
  - 原厂指导价：23.38万元  
  - 直降：1.9万元  
  - 现价：21.48万元  
  - 现车充足  

想了解更多优惠细节？直接打电话 400-886-5590 转 655540，免费咨询。  

---

### 车子小评测（大家可以参考一下）

**外观**：线条挺美，棱角分明，整体体型大气。  
我选的是釉金色，街上不太见到，感觉有点土豪气。后面有点溜背，像CC一样。  

**内饰**：布局合理，操作方便。用料精致，镀铬出风口显档次，按键设计人性化。仪表盘指针清晰，显示也很直观。  

**空间**：轴距长，前后座位空间都不错，尤其后备厢大，放婴儿车都够用。  

**动力**：加速有推背感，提速灵敏。市区开起来轻松，高速稳定。  

**操控**：底盘扎实，转向精准，路面反馈到位，开起来很有信心。  

（信息来源：南昌信息员000）  

别忘了，以上价格是经销商个体行为，市场价格会变，价格仅供参考。祝大家选车愉快，安全驾驶！",597,通用簡體中文,True,2,"信息,挺",0.0,0.0,0.0,1.0,0.0,1.0
一天突发奇想去他家逛街，买了海带，回家尝了一口，味道相当不错，最关键的是还很便宜。哈哈，哈尔滨红肠的口味也很正。,56,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
兰州公交集团通告：从即日起到8月底，三条公交线路（35路、81路、108路）将不经过靖远路站。原因是靖远路（市二医院到庙滩子段）7月21日至8月底进行全封闭维修。具体调整如下：35路：从兰州西客站到美伦广场时，西客站至白塔山公园不变，经过北滨河路九州大道南口左转进入九州大道到庙滩子，恢复原线路；从美伦广场回西客站时，美伦广场至庙滩子不变，左转进入九州大道到北滨河路市二医院，恢复原线路。81路：从市二医院到省军干所时，经过北滨河路九州大道南口左转进入九州大道到庙滩子；从省军干所回市二医院时，省军干所至庙滩子不变，左转进入九州大道到市二医院。108路：从九州创城B区到兰州西客站时，九州创城B区至朝阳村路口不变，直行进入九州大道到北滨河路市二医院；从兰州西客站回九州创城B区时，西客站至白塔山公园不变，经过北滨河路九州大道南口左转进入九州大道到朝阳村路口。请市民合理安排出行，三条线路临时调整后将不经过靖远路站。,407,真正大陸用語,True,0,,1.0,0.0,0.0,1.0,1.0,3.0
每次前往来福士购物中心，我都会进入这家店铺。店内的鞋子设计感十足，品种繁多，款式优雅。店名朗朗上口，穿着舒适。,55,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
突然有一天，我去他家买东西，买了一些海带。回家尝了一下，果然不错，而且还很便宜。哈哈，哈尔滨红肠的口味也挺正的~,56,通用簡體中文,True,2,挺,0.0,1.0,0.0,1.0,0.0,2.0
上门殴打逼迫脱衣 小小年纪实在狠【概要】宿松高二女生因寻衅滋事被判七个月刑本报讯（袁勇奇乔剑）由于不满前男友与他人交往，一名高二女生多次殴打情敌，并与另一女子合谋拍摄对方裸照。近日，邓某与杨某被宿松法院以寻衅滋事罪分别判处有期徒刑七个月、六个月。今年16岁的邓某是高二学生，2014年间，邓某得知被害人何某与其前男友吴某恋爱后，便对何某心生怨恨。10月中旬，邓某两次殴打何某，造成何某轻微伤。11月3日，邓某与朋友杨某一起闯入何某的房间。进去后，邓某先后用网线、伸缩棍等物品殴打何某，杨某亦用伸缩棍攻击何某。为发泄怨气，邓某逼迫何某脱光衣服，喝烟叶泡水，并用竹签刺其胸部，用衣架刺其下体。随后，邓某、杨某将何某带至杨某的出租屋继续殴打，并用饮料瓶、电视机底座刺伤，甚至刮其体毛。接着，邓某又把何某带回何某的房间继续殴打并拍下何某裸照。9时左右，邓某等人离开何某住处。经安徽省宿松县公安司法鉴定中心鉴定，何某的伤势为轻微伤。宿松县人民法院审理后认为，邓某、杨某随意殴打他人，情节恶劣，已构成寻衅滋事罪。邓某当时未满十八周岁，应从轻处罚。,467,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,1.0,2.0
书籍发行间隔过长，而且同类书籍一次性上市导致阅读混乱，之前几本的内容已被遗忘，难以衔接。下次若能推出更厚的单行本，而非一次性全部发行，那就更好。价格稍高也无妨，毕竟太折磨人了。,88,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
就是短了点很好看但很快结束。一天就看完了有后续吗,24,通用簡體中文,False,0,,,,,,,
7.20早评API白银天然气原油沥青分析操作策略走过的是时间，看过的是行情，尝过的是盈与亏，回味的是得与失，沉淀的是经验，成就的是境界。善战者，无赫赫战功！市场走势，千变万化，与时俱进，跟随趋势，方能立足。一朵鲜花撑不起美丽的春天，同样一个人的力量也改变不了市场走势，只需在机会来临的时候踏上开往终点的列车，即可得到我们想要的利润。没有人可以回到过去重新开始，但所有的人都可以从现在开始，去书写一个全然不同的结局。原油技术分析：回顾昨日行情：原油昨日小幅高开，亚欧盘行情比较平稳，在小区间内来回震荡，至美盘原油行情大幅波动，上方触及310一线后，快速回落至昨日低点附近，再度反弹。整体上来看作者金赢先锋认为后续原油空头仍占据优势，操作上作者金赢先锋建议还是以高位做空为主，低多为辅。套有多单的朋友可以在下放关键支撑位附近加仓，待行情回调，解套出局，做单的朋友严格止损，做好风险控制。技术面上，原油从四小时走势图来看，布林带整体向下运行，上轨和中轨拐头向下，下轨相对走缓，K线价格在布林带中轨下方窄幅震荡，并受其压制。下方MACD指标在零轴下方形成死叉且继续向下运行，绿色动能柱仍在放量，RSI指标聚拢并拐头向上运行。综合来看，K线价格受布林带中轨和前期高点强力压制，下行势头强劲，但谨防下轨强力支撑，作者金赢先锋预计后续油价将小幅回升再震荡下行。操作上，先锋老师建议以高空为主，低多为辅。美原油操作建议：1、建议在45.7美元附近空单进场，止损0.5美元，目标看44.8美元附近2、建议在44.5美元附近多单进场，止损0.5美元，目标看45.5美元附近天然气行情分析：日线方面来看，均线系统逐渐下行，布林带张口扩大，行情运行于布林下轨上方附近。附图MACD快慢线下行发散，绿柱持续缩量，KDJ指标拐头向上，三线逐渐聚拢形成金叉。四小时图方面；5日均线拐头向下与10日均线粘合，布林带张口走平，行情运行在布林带中轨下方，附图MACD快慢线粘合运行，红色能量柱缩量，KDJ指标死叉下行发散。天然气操作建议：1、未破5060附近空单进，损40点，目标：4900，破位持有；2、未破4880附近多单进，损40点，目标：5050，破位持有；青西大宗天然气操作建议：1、首见4470附近多单进，损40点，目标：5620，破位持有；2、意外下破4450空单进，损40点，目标：4350，破位持有； 白银行情分析：白银方面：从日线图来分析来看，日线连收三根阴线，5日均线有下穿10日均线之势，布林带张口有向下之势，行情运行在布林带上轨下方；作者先锋老师从四小时图来看，K线运行于布林带中轨下方，小时线布林带张口向下，KDJ指标运行于超买区，四小时收线不破布林带中轨压力可以布局空单，下方关注4135附近支撑，目前看回撤的态势仍没有改变，周线支撑在4100附近，短期压力在4220-4230区间，作者金盘先锋预计缠绕下行补跌，继续反弹做空为主，目前白银的价格在接近4220-4230附近时，激进者即可直接做空！白银操作建议：1、建议4220附近空单进场，止损30点，目标4150-4160；2、建议4140附近多单进场，止损30点，目标4180-4210；3、行情瞬息万变，实时做单联系请教本人。今日重点关注财经数据与事件 2016年 7月 20日 周三14:00 德国6月PPI月率16:00 欧元区5月季调后经常帐(亿欧元)16:30 英国6月失业率 英国6月失业金申请人数(万人) 英国5月三个月ILO失业率17:00 瑞士7月ZEW投资者信心指数22:00 美国至7月15日当周EIA原油库存(万桶) 不管你是做实仓，还是模拟，新手还是老手，套单、亏损、还是爆仓都请您调整好心态，尊重市场，跟上我的思路，让你在投资市场重拾信心，一展风采。我们不求一天翻仓、更不求一夜暴富，只求稳健盈利、落袋为安，稳健给单，诚信做人！想在投资中获利，真的没有捷径，只有像苦行僧一样，每日认真作功课，勤于积累，更多交流进除了能提供一些投资经验及学习方法以外，更希望能找到志同道合的投资朋友，一起努力研究，战胜行情，祝各路投资朋友摆脱散户永远输钱的宿命。也希望有更好的机遇为投资者提供良策。如需了解更多原油、沥青、天然气、豆油、贵金属等投资、交易手法、操作技巧以及K线等知识可以关注都可以添加微信:ZDLJ028，微信公号:jaykuaixun01现货快讯之家(长按可复制）进行交流学习。另外我还要说做投资最重要一点：点位到了就干！点位不到就看，做单需要勇气，持单需要勇气！成功不是靠运气，选择大于努力！你赢我陪你君临天下，你输我陪你东山再起。,1906,通用簡體中文,True,1,微信,0.0,0.0,0.0,1.0,0.0,1.0
送货速度极慢，毫无可比。,12,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
在加州大学洛杉矶分校（UCLA）接受陶哲轩教授指导攻读博士学位的体验如何？我对此颇感好奇，因为陶教授被广泛认为是天才。想了解在他的指导下读博的真实感受。补充说明：在该网站上可以查看陶教授的学生名单，然而我强行回答了一个与此无关的问题。某日参加讲座，我稍微迟到，挤进门口的一个角落。发现旁边站着的正是陶教授，周围无人让座，也无人理会。那一刻，我感到我们之间的地位最为平等，想偷偷拍一张合影，但最终没有冒险。讲座中，陶教授轻声笑了一下，我当时感到迷惑，边听边试图找出笑点。最终，我对讲座内容并未完全理解；陶教授随后提问，语速极快，我既没听懂问题，也没听懂答案。对此，我感到自己实在太差劲。,292,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
这本书与其盛名不相符。原先对旧版的评价，我本想给两星，因为与众多好评相比，内容确实未达预期。但考虑到其一定的可读性，最终给了三星。用一个月的时间通读完毕。首先，我觉得科维与其他西方作者类似，擅长将一些相对陈旧的论点包装成模型，并提升到理论层面，实质上是老酒装新瓶。例如，双赢、将事务按重要度和紧急度划分为四个区间等，都是老掉牙的理论。然而，科维的总结归纳能力仍值得肯定。关于翻译，我原以为翻译质量不错，至少读起来贴切流畅。但对某个词的翻译让我对整书的准确性产生怀疑。'inside-out'被译为“反求诸己”，但“反求诸己”本应对应“outside-in”。我未读过原著，也没有动力去读，但在看到这个词后，我不得不怀疑翻译的准确程度。有些翻译过于“中化”，根据我对原著及翻译的经验，实在令人难以置信。当然，整个框架从“dependence”到“independence”，再到“interdependence”，确实给人耳目一新。最后，书名《高效人士的七个习惯》其实不如说是为追求平衡生活或幸福生活的人而写，因为全文传达了对心灵和自我价值的重新定义。如果书名改为《幸福人生的七个习惯》，可能销量不会那么好。,503,通用簡體中文,True,0,,0.0,0.0,0.0,1.0,0.0,1.0
