text,text_length,category,success,authenticity_score,mainland_terms,source_type,paragraph_length,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
如果不是朋友年纪大些，又站在我们前面，以我的脾气她这顿打一定免不了的了。吃饭吃得好象欠她几百万一样，真是岂有此理！再说一下食物吧。馄饨没有鲜味，汤很淡，与几年前相比简直天壤之别。猪排又老又硬没有滋味。椒盐小排饭象在油里捞出来的。最恶劣的就数那份蜜汁叉烧！丫TM知道什么是蜜汁不啊？淡出个鸟来！没滋没味的几块颜色惨淡的肉干，也TM敢拿出来现眼！这顿饭活足倒胃到要死！,182,通用簡體中文,True,0,,split_paragraph,196,0.0,0.0,0.0,1.0,0.0,1.0
公司2014年研发投入占比下降(4.24%，-1.87 pct)，公司在餐厨处理领域长期投入较高的研发费用，目前相关技术逐步成熟，预计公司未来研发投入占比将保持约4%-5%。银行借款以及募集资金使用导致财务费用率升(-0.73%，+3.08 pct)，但仍为负数，公司资金依然较为充沛。关注外延式扩张及再融资启动情况。2015年公司计划进一步扩大垃圾渗滤液处理及餐厨垃圾处理业务的规模和实力。值得关注的是公司计划采用非公开发行引入战略投资者的方式启动再融资工作。,231,真正大陸用語,True,0,,split_paragraph,236,1.0,0.0,0.0,1.0,1.0,3.0
Kabam也希望移动游戏的画质能够赶超主机游戏——在许多其他直接竞争对手专注于尝试更有趣的新想法时，Kabam反其道而行之，他们的首席执行官周凯文甚至说：“我们取消了没有达到3A品质的在研游戏。”|“3A品质”究竟是什么意思？如果你跟我一样长期关注游戏文化，当听到“3A品质”这个词儿时，你可能会联想到大量手工制作的内容、最大限度发挥最新硬件性能的高级3D引擎、复杂/逼真的粒子系统和动画等等——实现这些内容通常代价昂贵，只有那些有钱雇佣300人组建一支团队的公司才能做到。,237,通用簡體中文,True,1,硬件,split_paragraph,84,0.0,0.0,0.0,1.0,0.0,1.0
卫生习惯：每月来月经子宫内膜脱落的上皮组织细胞，让这些高蛋白极易霉变的瘀毒。女性一生只有400颗左右的卵子，没排出一颗都是衰老的象征！如果长期开采却不给予护理，卵巢就会干瘪枯萎，出现妇科疾病，进而导致糜烂或者癌变，患妇科疾病的女性正以高于正常值5-6倍的速度衰老。（专为女性解决妇科问题，在王娟老师的朋友圈里有多个妇科疾病痊愈的案例！） 亲爱的朋友：能看到我的故事，说明你正在承受着难以启齿，又让你万分焦虑的私处松弛之苦，这是不是已经影响到了你们的夫妻感情？,229,通用簡體中文,True,0,,split_paragraph,245,0.0,0.0,0.0,1.0,0.0,1.0
电影讲述一名生活在一个快被淹没的城镇的老人。随著水位的上升，他不得不用砖块把他的屋子堆得更高。有一天，他把他最爱的烟斗掉到屋子的深处，为了找回烟斗，他买了一件潜水衣。,83,通用簡體中文,True,0,,split_paragraph,195,0.0,0.0,0.0,1.0,0.0,1.0
味道的确不错，但是，坦白说，服务不怎么样。也许是因为生意太好了的缘故，客人多，所以烧烤和服务的质量就下去了，经常东西烤糊了也给上来，而且要等好长时间。,75,通用簡體中文,True,0,,split_paragraph,215,0.0,0.0,0.0,1.0,0.0,1.0
生肖龙属龙的人，天赋异禀，多才多艺，气质不凡，若是其出生于贫寒家庭，一般来说都是好事情，因为属龙人天生具有傲气，好胜心强，而挫折能使得他们学会谦卑，懂得甘难辛苦，所以就越能激发出他们心中的斗志，会更加刻苦的学习，为人低调，行事缜密。而待其长大之后，往往都是百里挑一的人中龙凤，不仅事业发展平步青云，财运更是一发不可收拾。生肖狗属狗的人，为人谦逊，性格踏实，做事认真负责，决断力强。若是其出生在贫寒的家庭之中，通常可以获得性格的早熟，磨砺其个性，使其配合度更高。,230,通用簡體中文,True,0,,split_paragraph,176,0.0,0.0,0.0,1.0,0.0,1.0
牛肉混沌也很好，怎么把牛肉做得这么嫩，确实是绝招。环境就不能要求太高，不过个人觉得卫生是有保证的，因为发现每隔一会儿厨房人员就会把自己脏了的工作服送到一个小窗口去换干净的。,86,真正大陸用語,True,0,,split_paragraph,245,0.0,1.0,0.0,1.0,1.0,3.0
因为两人知道，其中包的数字对不起来，再加上包的实际价格和市场价格差距太大了，如果把包还给薛的母亲，事情则穿帮了，所以想出了这个销毁的“妙计”。而拍视频则是用来敷衍其母亲，到时就说东西已经烧掉了，则没办法对账。然而刘颖等人的“小聪明”并不能逃出恢恢法网，最终薛和母亲去派出所报案，警方经过侦查予以立案。日前刘颖和徐东因涉嫌诈骗罪被宝山区人民检察院提起公诉。,177,通用簡體中文,True,0,,split_paragraph,90,0.0,0.0,0.0,1.0,0.0,1.0
看完这部剧，小编了解了一下，这是湖南卫视电视剧频道“小戏骨”栏目推出的《白蛇传》翻拍。而其中小演员的平均年龄只有七八岁。也是大写的服！饰演白娘子的小演员叫陶奕希，2006年出生，今年10岁，人称小樱桃。虽然只有10岁，小樱桃的履历已经很吓人了。看她跳舞，简直和白娘子是两个画风！酷到没朋友。这大长腿，这灵活的肢体，小编也是羡慕不已啊！之前，她还上过《快乐大本营》。前段时间还出演了《画江湖》。这次参加《小戏骨》，小樱桃也是下了很大的决心。刚开始觉得自己演得不好，还哭着要求再来一次。,241,通用簡體中文,True,0,,split_paragraph,245,0.0,0.0,0.0,1.0,1.0,2.0
注了个马甲来这里提问其实有点丢人，但知道这里卧虎藏龙，现在有些家庭问题不得不求助。我和妻子结婚快四年，算上恋爱，在一起差不多七年多了，现在并不是遭遇了七年之痒的问题，而是其他问题。我和妻子都是互联网圈的，妻子是某大公司的高级经理，我是发展中公司目前还在一线的开发，妻子到手工资比我高，我目前期权多一点，但实际到手工资差一些。我很爱我的妻子，她当初吸引我的一点就是她很认真努力懂事，让我觉得是个难得的善解人意的好女孩，但是婚后却发现我可能很多事情想简单了。,227,真正大陸用語,True,0,,split_paragraph,48,1.0,0.0,0.0,1.0,1.0,3.0
请问各位觉得哪个出版社谁翻译的理想国比较好？忍不住了，作为一个在美国读古希腊哲学博士的，必须回答这个问题。很遗憾的是我完全不了解汉译版，只能说说英译版。首先，John Cooper编的 Plato Complete Works是一本哲学界公认的译本，似乎只有Hard copy。John Cooper 本身在Princeton教古希腊哲学，这本书不是一个人翻译的，而是搜集了各家的翻译（因此我觉得王晓朝教授一个人翻译全部让我很吃惊。,216,通用簡體中文,True,0,,split_paragraph,241,0.0,0.0,0.0,1.0,0.0,1.0
一次次的入内改变着人对于酒屋以及她所周遭的一切饮食。从最初的欣赏到享受，到如今的习惯，甚至有了些不知所味。似乎频率麻木了味觉神经，份量解构了承受能力。她开始有了些改变。追溯该到源头。清酒、烧酒、梅子酒才是她前往酒屋的唯一冲动。带着米香抑或是果香的酒，酌饮入喉，稍许辛辣的清凉在数数几分钟后热氲全身，那股子情愫飘然致头，思念和回忆川流不息。就着几片刺身，异乡的海上漂泊似回到岸上，重温家人的温暖。这种似醉微醉的梦就此延续着多次。俗世变迁，人员扩充。小酒屋挤进了更多的食客，吃饭似乎成了一种流程。,246,通用簡體中文,True,0,,split_paragraph,207,0.0,0.0,0.0,1.0,0.0,1.0
几年前去过一次，吃的是水晶鸡，近排又去过一次，点的是红葱头蒸鸡，海马水晶鸡，不知是否换了师傅，感觉味道有点咸，与以前记忆有所出入，味道也没以前好了。主要是吃鸡，其他菜式都不记得了。,90,通用簡體中文,True,0,,split_paragraph,217,0.0,0.0,0.0,1.0,0.0,1.0
嗯哼，作为从业者说几个数据吧。我们整个企业今天到现在为止总计接单一共六十几万对， 其中布鞋（冷粘工艺）包括布配皮合计25万对，店内搜索页-热风男鞋旗舰店 （最后一个款是我们生产的）， 软底软面类型4万对，（没有图片，懒得找） 布洛克及其变形3万对， 其他不计。不过以上不代表流行。如果说今年整体的流行元素应该是由于都教授的影响（还有过完各大街拍网站，女生各种搭配运动元素）带动起来的运动风。,195,通用簡體中文,True,0,,split_paragraph,179,0.0,0.0,0.0,1.0,1.0,2.0
在储备方面，中国目前基本依靠政府主导，国有储备与商业储备尚未彻底分离。,35,通用簡體中文,True,0,,split_paragraph,239,0.0,0.0,0.0,1.0,0.0,1.0
▼长签五毛 短签三毛好吃不贵 经济实惠为了回馈临潼人民的热情，老板这次要放大招了！一大波福利来袭，还不快来接住！?纵情分享你的生日你做主一岁一启程，一次生日一句祝福，成长在每一个新的启程和真心的祝福中，生日快乐！★生日当天到“嘉州上上签”聚餐，凭本人身份证，消费总价立享8.8折，送手工面一份。,147,真正大陸用語,True,0,,split_paragraph,216,1.0,0.0,0.0,1.0,1.0,3.0
专家们表示，参与救治工作的医院每天对所有伤员进行动态会诊实时掌握情况，自治区和乌鲁木齐市两级卫生部门协调重点药品和血液保证，充分保障伤员的医疗需要，每个伤员都得到了最好的医疗救治。目前，4名伤者已经出院，大多数重伤员已脱离危险。悉心照顾抚慰案件中受伤遇害的多为老年人，年龄最大的已80多岁，他们大多在新疆工作生活超过50年，一生经历了风风雨雨，为新疆发展作出了贡献，到了四世同堂颐养天年的年纪，却遭受了暴力恐怖分子惨绝人寰的袭击。面对亲人遭受的伤痛折磨甚至生命的骤然逝去，家属们伤心泪涌、悲痛欲绝。,249,通用簡體中文,True,0,,split_paragraph,222,0.0,0.0,0.0,1.0,0.0,1.0
三儿子天赋异禀 小贝的三个儿子中，最有天赋的是老三克鲁兹，从小就对足球很喜爱。根据英国足球专家的看法，贝克汉姆三个儿子中最具有足球天赋的是三公子克鲁兹，他的职业前景也最被外界所看好。因为克鲁兹的触球反应速度最快，动作也很灵敏，如果照这样发展下去，他将来会是众多俱乐部争抢的热门新星。女儿小七最漂亮 时尚界的宠儿 贝克汉姆的女儿被赞长得最像小贝，继承了父母的的优良基因：父亲的颜值和母亲的气质。虽然只有四岁，但是在时尚圈里，身价已然不菲，童装的热门代言人。,227,通用簡體中文,True,0,,split_paragraph,223,0.0,0.0,0.0,1.0,0.0,1.0
而且上万的配置依然该卡就卡，录制都没法做。不要说什么PC可以上网，刷贴吧问答社区AB站。这些东西喷的没法看的安卓都可以，电脑手机人人有。家家都有电脑，你说这个叫个什么优势？首先申明一点，主机跟PC并不是个二选一的问题，不存在说有了主机就不能买PC，也不可能说有了PC不准买主机。我13年组的主机，配置不高，E3760，带显示器，差不多7000搞定了。虽然不比万元壕机。也能拍胸脯保证能跑世面全部游戏，特效不保证。但不妨碍入我觉得游戏荒而买了个PS4. 先问是不是就谈为什么的都是耍流氓。,243,真正大陸用語,True,1,搞定,split_paragraph,214,1.0,0.0,1.0,1.0,1.0,4.0
很有点儿小资的感觉，中间有书架，放着一些看过或没看过，畅销或深刻的书。菜都比较精致，看得出是用心去做了，就是量都不大，好在我们重在聊天，只是感受一下就可以了。,79,通用簡體中文,True,0,,split_paragraph,221,0.0,0.0,0.0,1.0,0.0,1.0
主要规定学校发生撤并或者名称、类别层次、办学宗旨、发展目标与管理体制机制等重大内容变化时，对章程进行修订的权限、程序与办法。九学校章程解释权归属与施行日期。除以上基本内容外，中等职业学校章程中还应载明校企合作、工学结合等体现现代职业教育发展的内容。意见同时要求，各地各校要加强组织领导，坚持统筹规划，坚持改革创新，认真组织开展本地本校学校章程建设；要规范工作流程，建立学校章程建设领导小组，形成“一把手”亲自主抓，参与成员专人专责的工作机制；,221,通用簡體中文,True,1,程序,split_paragraph,204,0.0,0.0,0.0,1.0,1.0,2.0
