text,text_length,category,success,authenticity_score,mainland_terms,source_type,fragment_length,score_大陸特有詞彙,score_大陸語法習慣,score_大陸口語表達,score_避免繁體用語,score_整體大陸化程度,score_總分
编剧的36个情感结构是指哪36个？,17,通用簡體中文,True,0,,sentence_fragment,44,0.0,0.0,0.0,1.0,0.0,1.0
曾为杨坤、零点乐队等担任音乐制作人的“亚洲鼓王”Funky末吉觉与诸多宁夏音乐人协作进行编曲制作，,49,通用簡體中文,True,0,,sentence_fragment,26,0.0,0.0,0.0,1.0,0.0,1.0
相关公司业绩下滑据中国汽车工业协会统计，9月新能源汽车生产4.3万辆，,35,通用簡體中文,True,0,,sentence_fragment,44,0.0,0.0,0.0,1.0,0.0,1.0
有哪些外行人看来很蠢的设计实际上却是精妙无比？,23,通用簡體中文,True,0,,sentence_fragment,19,0.0,0.0,0.0,1.0,0.0,1.0
一是加强重大问题研究，谋划好“十三五”。,20,真正大陸用語,True,0,,sentence_fragment,30,1.0,0.0,0.0,1.0,1.0,3.0
后来回家一查~原来这家店的老板娘，就是永琪的老板的老婆。,28,通用簡體中文,True,0,,sentence_fragment,48,0.0,0.0,0.0,1.0,0.0,1.0
到詹姆斯这个级别了应该比一比荣誉之外的加分项，就是表现，这个是给荣誉加分量的东西。,41,通用簡體中文,True,0,,sentence_fragment,30,0.0,0.0,0.0,1.0,0.0,1.0
学工处老师们来检查卫生！,12,通用簡體中文,True,0,,sentence_fragment,37,0.0,0.0,0.0,1.0,0.0,1.0
不管怎样，谢谢大家。,10,通用簡體中文,True,0,,sentence_fragment,38,0.0,0.0,0.0,1.0,0.0,1.0
希望有亲身经历的回答，谢谢大家了。,17,通用簡體中文,True,0,,sentence_fragment,14,0.0,0.0,0.0,1.0,0.0,1.0
句子流畅、简单易懂故事却感人令人深思。,19,通用簡體中文,True,0,,sentence_fragment,23,0.0,0.0,0.0,1.0,0.0,1.0
去吃的自助烤肉去的时候说39元包括饮料和酱料，想了想也都这价钱，就去了去的比较早，,41,通用簡體中文,True,0,,sentence_fragment,25,0.0,0.0,0.0,1.0,0.0,1.0
三分长相，七分发型，发型对了，怎么搭都美！,21,通用簡體中文,True,0,,sentence_fragment,34,0.0,0.0,0.0,1.0,0.0,1.0
老妈说要换换口味，去吃湖南菜口然后一家人走路散步去了这个湘香阁，毛主席的菜啊。,39,通用簡體中文,True,0,,sentence_fragment,24,0.0,0.0,0.0,1.0,0.0,1.0
成龙现场连唱带跳地表演了一段“红色娘子军”。,22,真正大陸用語,True,0,,sentence_fragment,11,0.0,1.0,0.0,1.0,1.0,3.0
好很好非常好第一套在网上买的书 虽然是很多年前的讲话实录 但朱总理的书绝对值得购买的 大家支持起来,49,通用簡體中文,True,0,,sentence_fragment,50,0.0,0.0,0.0,1.0,0.0,1.0
↓↓↓长按三秒→识别图中的二维码→添加王娟老师微信号wangjuanqwls→看看朋友圈了解你的卵巢松弛炎症程度想不到我苦苦追寻了3年的梦想，,71,真正大陸用語,True,1,微信,sentence_fragment,43,1.0,0.0,0.0,1.0,1.0,3.0
兰登教授此次的解密行动不再是为了自己，而是为了全人类这个剧情设定虽然老套，,37,通用簡體中文,True,0,,sentence_fragment,18,0.0,0.0,0.0,1.0,0.0,1.0
fsxinghua2）长按以下二维码，识别，关注兴华商场微服务佛山兴华商场客服热线：,42,通用簡體中文,True,0,,sentence_fragment,21,1.0,0.0,0.0,1.0,0.0,2.0
9月份，陕西省内煤炭各主产区价格普遍持续上涨。,23,通用簡體中文,True,0,,sentence_fragment,13,0.0,0.0,0.0,1.0,0.0,1.0
还有好几次了，他们的服务员会故意忽略你的话的，你叫他加水，他睬也不踩你，自己跑到一边去休息了。,47,通用簡體中文,True,0,,sentence_fragment,12,0.0,1.0,0.0,1.0,0.0,2.0
虽然其后稍有回落，但在2010年至2012年继续呈上升趋势；,30,通用簡體中文,True,0,,sentence_fragment,16,0.0,0.0,0.0,1.0,0.0,1.0
碰见一个跟着我上地铁还在喋喋不休的叙说着产品的好坏与初创公司的艰辛。,34,真正大陸用語,True,0,,sentence_fragment,18,1.0,0.0,0.0,1.0,1.0,3.0
