text,text_length,original_index,fragment_index,original_text_length,fragment_length,source_type
补充，这个网站里可以看到Tao的学生列表强行答一个无关的！,236,8,3,236,29,sentence_fragment
一天听讲座，我到的稍微有点晚，挤在门口一个角落，发现旁边这不是Tao吗？,236,8,4,236,36,sentence_fragment
也站着呢，没人让座没人理。,236,8,5,236,13,sentence_fragment
感觉这可能是我俩地位最平等的一次了吧，想偷摸拍一张合影也没敢。,236,8,6,236,31,sentence_fragment
听着听着他还小声笑一下，我就在那里懵逼地边听边琢磨笑点在哪。,236,8,7,236,30,sentence_fragment
反正到最后我也是没太听明白，Tao还问了个问题，语速巨快，我既没听懂问题又没听懂答案。,236,8,8,236,43,sentence_fragment
就是短了点很好看但很快结束。,24,9,0,24,14,sentence_fragment
一天就看完了有后续吗,24,9,1,24,10,sentence_fragment
我是学西班牙语的 老师上课的时候老跟我们说西班牙的海鲜饭特好吃 还说他在西班牙的时候老吃 上礼拜就去了 海鲜饭128快 有点贵,63,10,0,63,63,sentence_fragment
每次去来福士逛街都会进去逛下这家店，鞋子都是非常的有设计感，种类很多，样式都十分的漂亮。,59,11,0,59,44,sentence_fragment
名字也满好听的，穿起来很舒服。,59,11,1,59,15,sentence_fragment
CRISPR到底是怎样的一种技术？,245,12,0,245,17,sentence_fragment
是否真的能推动基因治疗？,245,12,1,245,12,sentence_fragment
补充，今年获奖了：关于CRISPR全称，具体的机理已经有人回答过了，,245,12,2,245,34,sentence_fragment
我来给非生物的朋友解释一下它的伟大之处。,245,12,3,245,20,sentence_fragment
在CRISPR没有出现之前，改变一个物种的基因是一件很复杂的事情，,245,12,4,245,33,sentence_fragment
转基因技术需要非常熟练的科研人员才能进行操作，需要耗费大量的金钱才能完成，,245,12,5,245,37,sentence_fragment
因此转基因技术的应用局限于一些大型的实验室。,245,12,6,245,22,sentence_fragment
CRISPR的出现改变了这种状况，因为它相对之前的技术很简单，只需要两个组分就能改变基因，,245,12,7,245,45,sentence_fragment
一个组分用来识别你想要改变的地方，,245,12,8,245,17,sentence_fragment
地方比较干净，环境也还不错，菜味道可以。,60,13,0,60,20,sentence_fragment
三文鱼刺身49元斤，分量也算够足。,60,13,1,60,17,sentence_fragment
服务还可以，就是上菜有点慢。,60,13,2,60,14,sentence_fragment
[南昌市]大众帕萨特降价1.9万 现车充足!促销时间：2015.3.31-2015.4.5日前，,626,14,0,626,48,sentence_fragment
搜狐汽车南昌编辑从南昌市大众经销商(江西和平汽车销售服务有限公司)处了解到，店内大众帕萨特火热开售，,626,14,1,626,50,sentence_fragment
购帕萨特部分车款优惠1.9万元，,626,14,2,626,16,sentence_fragment
感兴趣的朋友可致电咨询详情，免费电话400-886-5590转655540。,626,14,3,626,38,sentence_fragment
具体车型优惠政策如下：,626,14,4,626,11,sentence_fragment
大众帕萨特 厂商指导价 直降 现价 现车情况 询价1.8TSI DSG 30周年纪念版 23.38万 ↓1.9万 21.48万 现车充足致电商家，,626,14,5,626,73,sentence_fragment
免费电话：400-886-5590转655540制表：,626,14,6,626,27,sentence_fragment
搜狐汽车南昌站查看更多降价信息请进 降价栏目首页 大众帕萨特 外观 线条美观，有棱有角，体态优美，,626,14,7,626,49,sentence_fragment
我选的是釉金，目前在街上看到的不多，有点土豪的赶脚。,626,14,8,626,26,sentence_fragment
后部有些溜背，比较象CC！,626,14,9,626,13,sentence_fragment
内饰 内饰布局合理，方便。,626,14,10,626,13,sentence_fragment
用料也比较精致，镀铬出风口显得很有档次，各种操作按键设计比较人性化。,626,14,11,626,34,sentence_fragment
仪表的指针和显示清晰 空间 比较满意，轴距挺长的，前后空间挺大的，,626,14,12,626,33,sentence_fragment
尤其后备箱特别大，放个婴儿车什么的，,626,14,13,626,18,sentence_fragment
动力 加速有相当的推背感，提速很灵敏。,626,14,14,626,19,sentence_fragment
市区驾驶游刃有余，高速驾驶沉着稳定。,626,14,15,626,18,sentence_fragment
操控 扎实的底盘，精准的转向，让你操控起来信心十足，对路面的反馈比较到位。,626,14,16,626,37,sentence_fragment
（信息来源：南昌 信息员000） 提及搜狐汽车，您将享受更优质的服务。,626,14,17,626,35,sentence_fragment
声明：此价格为经销商个体行为，不代表全部经销商。,626,14,18,626,24,sentence_fragment
由于市场价格变化多端，文中所报价格仅供参考。,626,14,19,626,22,sentence_fragment
如何看待2017年北京高考文科状元熊轩昂的言论？,403,15,0,403,24,sentence_fragment
在被问到“是否相信知识可以改变命运”的时候，2017北京高考文科第一名熊轩昂说：高考是阶层性的考试，,403,15,1,403,50,sentence_fragment
农村地区越来越很难考出来，我是中产家庭孩子，生在北京，在北京这种大城市能享受到的教育资源，,403,15,2,403,45,sentence_fragment
决定了我在学习时能走很多捷径，能看到现在很多状元都是家里厉害，,403,15,3,403,31,sentence_fragment
又有能力的人，所以有知识不一定改变命运，但是没有知识一定改变不了命运。,403,15,4,403,35,sentence_fragment
<img data-rawheight前一段时间，有一本小说，叫北京折叠。,403,15,5,403,37,sentence_fragment
我并没有看这本小说，只是看到这个书名，无奈又感觉哪里恰好契合的让我笑了一声。,403,15,6,403,38,sentence_fragment
意思是不是我所想说的：割裂的北京。,403,15,7,403,17,sentence_fragment
我和我的好朋友们，美其名曰实习工作，实则类似社会实践一样的在首都呆了不长不短的一段时间。,403,15,8,403,44,sentence_fragment
这个年轻人，其实说出了割裂社会里，某一阶级优秀青年代表群的内心真实感受。,403,15,9,403,36,sentence_fragment
大部分答案都是在感慨，啊呀，这个小孩这么小其实很通透啊。,403,15,10,403,28,sentence_fragment
其实倒不如说，大部分答案的答主并没有,403,15,11,403,18,sentence_fragment
很惭愧，身为广州人，竟然不知道烈士陵园里面有个广东革命历史博物馆，如果不是偶尔的发现，,426,16,0,426,43,sentence_fragment
还真的不知道何年何月才会发现这里。,426,16,1,426,17,sentence_fragment
门票是免费的，广州有这点好，各大公园和部分博物馆免费进入，到其他城市，就无享受过这样的待遇。,426,16,2,426,46,sentence_fragment
是一座中间大厅、绕以回廊、两层圆顶的建筑。,426,16,3,426,21,sentence_fragment
它原是清末广东咨议局。,426,16,4,426,11,sentence_fragment
辛亥革命后，广东人民在这里召开大会，宣布反清独立。,426,16,5,426,25,sentence_fragment
1921年5月5日，孙中山就任非常大总统，在这里举行宣誓就职典礼。,426,16,6,426,33,sentence_fragment
1925年9月底，成为中国国民党中央党部所在地。,426,16,7,426,24,sentence_fragment
国民党第二次全国代表大会和第三次全国劳动大会等重要会议在这里召开，,426,16,8,426,33,sentence_fragment
毛泽东主编《政治周报》时在这里办公，,426,16,9,426,18,sentence_fragment
谭延闿、李富春主办的中国国民党政治讲习班和何香凝主办的中国国民党妇女运动讲习所在这里上课。,426,16,10,426,45,sentence_fragment
它是大革命时期一个重要的革命旧址。,426,16,11,426,17,sentence_fragment
该馆以广东人民革命斗争史为基本陈列，,426,16,12,426,18,sentence_fragment
介绍从鸦片战争到全国解放这个历史时期广东人民为民族独立解放而进行英勇斗争的历史。,426,16,13,426,40,sentence_fragment
其中以第一次国内革命战争时期为重点。,426,16,14,426,18,sentence_fragment
又一个值得推介的爱国主义教育基地。,426,16,15,426,17,sentence_fragment
非常好的酒店，果然是悦榕庄啊！,138,17,0,138,15,sentence_fragment
名不虚传一定要住那个豪华水月阁 床的对面就是个加温的按摩池简直是太浪漫了 西餐厅的套餐也非常出色，,138,17,1,138,49,sentence_fragment
尤其是提拉米苏 人间美味还有酒吧 名字太有腔调了 叫酒仙白云中餐厅的东坡肉更要表演销售部的一位姓刘的小姐和一位丁总监在我们入住的时候十分帮忙 表扬！,138,17,2,138,74,sentence_fragment
7.20早评API白银天然气原油沥青分析操作策略走过的是时间，看过的是行情，尝过的是盈与亏，,1906,18,0,1906,46,sentence_fragment
回味的是得与失，沉淀的是经验，,1906,18,1,1906,15,sentence_fragment
善战者，无赫赫战功！,1906,18,2,1906,10,sentence_fragment
市场走势，千变万化，与时俱进，跟随趋势，方能立足。,1906,18,3,1906,25,sentence_fragment
一朵鲜花撑不起美丽的春天，同样一个人的力量也改变不了市场走势，,1906,18,4,1906,31,sentence_fragment
只需在机会来临的时候踏上开往终点的列车，即可得到我们想要的利润。,1906,18,5,1906,32,sentence_fragment
没有人可以回到过去重新开始，但所有的人都可以从现在开始，去书写一个全然不同的结局。,1906,18,6,1906,41,sentence_fragment
原油技术分析：回顾昨日行情：原油昨日小幅高开，亚欧盘行情比较平稳，在小区间内来回震荡，,1906,18,7,1906,43,sentence_fragment
至美盘原油行情大幅波动，上方触及310一线后，快速回落至昨日低点附近，,1906,18,8,1906,35,sentence_fragment
整体上来看作者金赢先锋认为后续原油空头仍占据优势，操作上作者金赢先锋建议还是以高位做空为主，,1906,18,9,1906,46,sentence_fragment
套有多单的朋友可以在下放关键支撑位附近加仓，待行情回调，解套出局，做单的朋友严格止损，做好风险控制。,1906,18,10,1906,50,sentence_fragment
技术面上，原油从四小时走势图来看，布林带整体向下运行，上轨和中轨拐头向下，,1906,18,11,1906,37,sentence_fragment
下轨相对走缓，K线价格在布林带中轨下方窄幅震荡，,1906,18,12,1906,24,sentence_fragment
下方MACD指标在零轴下方形成死叉且继续向下运行，绿色动能柱仍在放量，RSI指标聚拢并拐头向上运行。,1906,18,13,1906,50,sentence_fragment
综合来看，K线价格受布林带中轨和前期高点强力压制，下行势头强劲，但谨防下轨强力支撑，,1906,18,14,1906,42,sentence_fragment
作者金赢先锋预计后续油价将小幅回升再震荡下行。,1906,18,15,1906,23,sentence_fragment
操作上，先锋老师建议以高空为主，低多为辅。,1906,18,16,1906,21,sentence_fragment
美原油操作建议：1、建议在45.7美元附近空单进场，止损0.5美元，目标看44.8美元附近2、,1906,18,17,1906,47,sentence_fragment
建议在44.5美元附近多单进场，止损0.5美元，目标看45.5美元附近天然气行情分析：,1906,18,18,1906,43,sentence_fragment
日线方面来看，均线系统逐渐下行，布林带张口扩大，行情运行于布林下轨上方附近。,1906,18,19,1906,38,sentence_fragment
附图MACD快慢线下行发散，绿柱持续缩量，KDJ指标拐头向上，三线逐渐聚拢形成金叉。,1906,18,20,1906,42,sentence_fragment
5日均线拐头向下与10日均线粘合，布林带张口走平，行情运行在布林带中轨下方，,1906,18,21,1906,38,sentence_fragment
附图MACD快慢线粘合运行，红色能量柱缩量，KDJ指标死叉下行发散。,1906,18,22,1906,34,sentence_fragment
天然气操作建议：1、未破5060附近空单进，损40点，目标：4900，破位持有；,1906,18,23,1906,40,sentence_fragment
2、未破4880附近多单进，损40点，目标：5050，破位持有；,1906,18,24,1906,32,sentence_fragment
青西大宗天然气操作建议：1、首见4470附近多单进，损40点，目标：5620，破位持有；,1906,18,25,1906,44,sentence_fragment
2、意外下破4450空单进，损40点，目标：4350，破位持有；,1906,18,26,1906,32,sentence_fragment
白银行情分析：白银方面：从日线图来分析来看，日线连收三根阴线，5日均线有下穿10日均线之势，,1906,18,27,1906,46,sentence_fragment
布林带张口有向下之势，行情运行在布林带上轨下方；,1906,18,28,1906,24,sentence_fragment
作者先锋老师从四小时图来看，K线运行于布林带中轨下方，小时线布林带张口向下，KDJ指标运行于超买区，,1906,18,29,1906,50,sentence_fragment
四小时收线不破布林带中轨压力可以布局空单，下方关注4135附近支撑，目前看回撤的态势仍没有改变，,1906,18,30,1906,48,sentence_fragment
周线支撑在4100附近，短期压力在4220-4230区间，作者金盘先锋预计缠绕下行补跌，,1906,18,31,1906,44,sentence_fragment
继续反弹做空为主，目前白银的价格在接近4220-4230附近时，激进者即可直接做空！,1906,18,32,1906,42,sentence_fragment
白银操作建议：1、建议4220附近空单进场，止损30点，目标4150-4160；,1906,18,33,1906,40,sentence_fragment
2、建议4140附近多单进场，止损30点，目标4180-4210；,1906,18,34,1906,33,sentence_fragment
3、行情瞬息万变，实时做单联系请教本人。,1906,18,35,1906,20,sentence_fragment
今日重点关注财经数据与事件 2016年 7月 20日 周三14:00 德国6月PPI月率16:00 欧元区5月季调后经常帐(亿欧元)16:30 英国6月失业率 英国6月失业金申请人数(万人) 英国5月三个月ILO失业率17:00 瑞士7月ZEW投资者信心指数22:00 美国至7月15日当周EIA原油库存(万桶) 不管你是做实仓，,1906,18,36,1906,165,sentence_fragment
还是模拟，新手还是老手，套单、亏损、还是爆仓都请您调整好心态，尊重市场，跟上我的思路，,1906,18,37,1906,43,sentence_fragment
让你在投资市场重拾信心，,1906,18,38,1906,12,sentence_fragment
我们不求一天翻仓、更不求一夜暴富，只求稳健盈利、落袋为安，稳健给单，诚信做人！,1906,18,39,1906,39,sentence_fragment
想在投资中获利，真的没有捷径，只有像苦行僧一样，每日认真作功课，,1906,18,40,1906,32,sentence_fragment
勤于积累，更多交流进除了能提供一些投资经验及学习方法以外，更希望能找到志同道合的投资朋友，,1906,18,41,1906,45,sentence_fragment
一起努力研究，战胜行情，祝各路投资朋友摆脱散户永远输钱的宿命。,1906,18,42,1906,31,sentence_fragment
也希望有更好的机遇为投资者提供良策。,1906,18,43,1906,18,sentence_fragment
如需了解更多原油、沥青、天然气、豆油、贵金属等投资、,1906,18,44,1906,26,sentence_fragment
交易手法、操作技巧以及K线等知识可以关注都可以添加微信:ZDLJ028，,1906,18,45,1906,36,sentence_fragment
微信公号:jaykuaixun01现货快讯之家(长按可复制）进行交流学习。,1906,18,46,1906,37,sentence_fragment
另外我还要说做投资最重要一点：点位到了就干！,1906,18,47,1906,22,sentence_fragment
点位不到就看，做单需要勇气，持单需要勇气！,1906,18,48,1906,21,sentence_fragment
成功不是靠运气，选择大于努力！,1906,18,49,1906,15,sentence_fragment
你赢我陪你君临天下，你输我陪你东山再起。,1906,18,50,1906,20,sentence_fragment
这沐浴露的香味很喜欢,10,19,0,10,10,sentence_fragment
正中之变（日语：しょうちゅうの へん）是镰仓时代后期元亨4年9月（西历1333年9月）发生的一次未遂政变。,902,20,0,902,53,sentence_fragment
后醍醐天皇策划的讨幕计划被事先发现，首谋者遭到了幕府的处理。,902,20,1,902,30,sentence_fragment
虽然当年12月9日才改元为正中元年，但按照习惯史称正中之变。,902,20,2,902,30,sentence_fragment
后醍醐天皇从元亨元年（1321年）起开始取代父亲后宇多法皇亲政，并致力于恢复记录庄园券契所。,902,20,3,902,46,sentence_fragment
后宇多法皇临终之际下诏，因为皇太子邦良亲王为大觉寺统嫡流（邦良之父为后醍醐天皇兄长后二条天皇），,902,20,4,902,48,sentence_fragment
后醍醐天皇有朝一日必须让位邦良亲王。,902,20,5,902,18,sentence_fragment
元亨4年6月法皇刚刚驾崩，邦良亲王就立即为了逼后醍醐天皇让位而前往镰仓寻求幕府支持。,902,20,6,902,42,sentence_fragment
另外持明院统也以邦良亲王即位后，量仁亲王接任皇太子为条件支持邦良的主张（根据之前文保和谈的约定），,902,20,7,902,49,sentence_fragment
镰仓幕府也就决定未来按照这一准则决定皇位継承。,902,20,8,902,23,sentence_fragment
然而后醍醐天皇期待着最终能够按照自己的想法施政，在得知自己的身份只不过是一个过渡性的天皇后，,902,20,9,902,46,sentence_fragment
除了原本就反感的邦良亲王和持明院统，也对幕府的决定强烈反弹。,902,20,10,902,30,sentence_fragment
因此后醍醐天皇计划趁六波罗探题南方・大佛维贞前往镰仓的时机讨幕，,902,20,11,902,32,sentence_fragment
为此派侧近日野资朝和日野俊基等人巡回诸国，号召各地的武士和实权派起兵勤王讨幕。,902,20,12,902,39,sentence_fragment
当时恶党活动正从几内向各地扩散，奥州的安藤氏之乱也正在加剧，北条得宗家正焦头烂额。,902,20,13,902,41,sentence_fragment
后醍醐天皇应该就是打算利用当时的政局不稳，试图把承久之乱之后皇家一直以来的倒幕计划付诸实施。,902,20,14,902,46,sentence_fragment
然而9月19日计划被六波罗探题知悉。,902,20,15,902,18,sentence_fragment
尽管土岐赖员和多治见国长秘密上洛，但马上就被幕府派人搜捕，双方在四条附近激战，最终二人被逼自尽。,902,20,16,902,48,sentence_fragment
六波罗的追查也波及到了朝廷。,902,20,17,902,14,sentence_fragment
资朝・俊基等人被治罪，押解到镰仓。,902,20,18,902,17,sentence_fragment
资朝被判流放佐渡岛，俊基被赦免归京，但之后被禁足。,902,20,19,902,25,sentence_fragment
另一方面，后醍醐天皇派侧近万里小路宣房带着解释信前往镰仓，说明自己跟这次的事变无关，因而免于责罚。,902,20,20,902,49,sentence_fragment
军记物语『太平记』在第一卷记述了正中之变的细节：,902,20,21,902,24,sentence_fragment
倒幕的秘密会议是以无礼讲（不拘身份的宴会）的名义进行的。,902,20,22,902,28,sentence_fragment
参与计划的土岐赖员在某一天夜里把计划泄露给了自己的妻子，而其岳父斋藤利行正是六波罗探题的奉行，,902,20,23,902,47,sentence_fragment
另外，西大寺的律宗僧人也参与了倒幕。,902,20,24,902,18,sentence_fragment
之后建武新政期间担任役职的伊贺兼光和律僧文观被认为也参与了密谋。,902,20,25,902,32,sentence_fragment
辘轳首是长颈妖怪的一种，在日本的江户时代流传甚广，通常以女性的形象出现，特征是脖子可以伸缩自如，,625,21,0,625,48,sentence_fragment
与井边打水时控制汲水吊桶的辘轳把，性质上颇为相似，故称之为「辘轳首」。,625,21,1,625,35,sentence_fragment
与长颈妖怪相关的记载有干宝的《搜神记》，这本书是中国晋代著名的奇谭异闻录，,625,21,2,625,37,sentence_fragment
其中提到南方的「落头氏」一族，是这种妖怪的原型，又名「飞头蛮」，此特征与辘轳首并不相同，,625,21,3,625,44,sentence_fragment
辘轳首的脖子会突然伸长，但不是像飞头蛮那样，整颗头从脖子的部位与身体彻底分离。,625,21,4,625,39,sentence_fragment
长颈妖怪依据精神的自主性，大致区分为两种，一种可以随自己的意念游走，自由飞翔的长颈妖怪；,625,21,5,625,44,sentence_fragment
另一种则是无法控制自己会飘到何处，在无意识状态下浮游的长颈妖怪。,625,21,6,625,32,sentence_fragment
可以随自己的意念游走的长颈妖怪，会潜入民宅将正在睡眠中的人勒毙，然后用尖锐的牙齿将对方啃蚀殆尽，,625,21,7,625,48,sentence_fragment
甚至好几只聚在一起集体行动。,625,21,8,625,14,sentence_fragment
由于长颈妖怪的头部和身体经常分离，在脖子的地方，有缠绕著红丝线的习惯，,625,21,9,625,35,sentence_fragment
所以地方上有个不成文的禁忌「看到脖子缠红线的女人千万不能娶」，,625,21,10,625,31,sentence_fragment
究其原因应该是害怕娶进门的老婆很可能是长颈妖怪的化身。,625,21,11,625,27,sentence_fragment
有些人并不知道自己就是长颈妖怪，所以是在无意识的状态下受到某种外力驱使，,625,21,12,625,36,sentence_fragment
尽管白天看起来同一般人没什么两样，一旦入夜之后，等到众人进入了梦乡，才会显出妖怪的真面目。,625,21,13,625,45,sentence_fragment
首先是脖子突然伸长，接著头部从脖子的部位和身体彻底分离，这时候头部和身体会重新结合在一起，,625,21,14,625,45,sentence_fragment
醒来后就像正常人一样行动。,625,21,15,625,13,sentence_fragment
本人往往不记得妖怪形态时看到了什么，或做过了什么事。,625,21,16,625,26,sentence_fragment
《日本妖怪奇谭》ISBN 9787224085297,625,21,17,625,26,sentence_fragment
算命结果非常不好，该如何面对接下来的人生？,454,22,0,454,21,sentence_fragment
一个香港师父给我算八字后说我接下来会倒二十年霉！,454,22,1,454,24,sentence_fragment
我才二十出头啊 ，这人生还有意思吗？,454,22,2,454,18,sentence_fragment
他说我最好呆在家默默工作----------------第一次在问答社区问问题就这么多人回答我，,454,22,3,454,48,sentence_fragment
大家的回答都好有帮助启示！,454,22,4,454,13,sentence_fragment
至少题猪今天还是lucky day！,454,22,5,454,18,sentence_fragment
----------------------------------------------------这两天这么多的回答 题主简直太感动有循循善诱 有一针见血 都十分激励我 改变了我很多想法！,454,22,6,454,97,sentence_fragment
现在我懂了 天道酬勤 改变人生就是改变自己！,454,22,7,454,22,sentence_fragment
大家的答案我一定都保存 迷茫时拿出来读读 绝对比市面上的励志教材有用几百倍啊 ^O^说实话我想说下 了凡四训 的，,454,22,8,454,57,sentence_fragment
结果进来就看到有人已经提了，太上感应篇 嘛又神神鬼鬼不那么让人相信，,454,22,9,454,34,sentence_fragment
所以也就不说那些了 自己也初步了解过算命知识，感觉各派并不能完美共容，,454,22,10,454,35,sentence_fragment
bug挺多，基本就不可信嘛 民间低水平大师也接触过，滋滋滋不说了 so，我的方案是只听说自己好的，,454,22,11,454,49,sentence_fragment
坏的就让他随风去吧去吧去吧,454,22,12,454,13,sentence_fragment
电视剧《白鹿原》为什么在播出一集后停播？,238,23,0,238,20,sentence_fragment
原定4月16日首播，但播出一集以后就停播。,238,23,1,238,21,sentence_fragment
补充书里一段黑我党的言论： 你用列宁的理论判我为贵族并不过分。,238,23,2,238,31,sentence_fragment
列宁就是把穷人煽动起来打倒富人消灭富人，结果是富人被消灭了穷人仍然受穷。,238,23,3,238,36,sentence_fragment
兆鹏学苏俄在白鹿原上煽动穷汉打倒财东，结果呢？,238,23,4,238,23,sentence_fragment
堂堂的农协主任鹿黑娃堕落成了土匪，,238,23,5,238,17,sentence_fragment
领着土匪抢银元，刀劈了俺爷又砸断了嘉轩叔的腰杆子作为农协主任没有达到的目的，,238,23,6,238,38,sentence_fragment
当了土匪却轻而易举地达到了。,238,23,7,238,14,sentence_fragment
你叫我还能信还能再入共产党吗？,238,23,8,238,15,sentence_fragment
黑娃们干不成共产党的革命可以当土匪，我可不行呀,238,23,9,238,23,sentence_fragment
不论是孩子还是大人都喜欢的一本书画面很美读起来也比较有感觉,29,24,0,29,29,sentence_fragment
上门打人逼人脱衣 小小年纪真够狠【概要】宿松高二女生寻衅滋事获刑七个月本报讯（袁勇奇乔剑）因不满前男友和别人谈恋爱，,497,25,0,497,58,sentence_fragment
一高二女生多次殴打情敌，并伙同另一女子强拍对方裸照。,497,25,1,497,26,sentence_fragment
近日，邓某和杨某被宿松法院以寻衅滋事罪分别判处有期徒刑七个月、六个月。,497,25,2,497,35,sentence_fragment
今年16岁的邓某是高二学生，2014年期间，被告人邓某得知被害人何某同其前男友吴某谈恋爱，,497,25,3,497,45,sentence_fragment
10月中旬，邓某两次殴打何某，致何某轻微伤。,497,25,4,497,22,sentence_fragment
11月3日，邓某同朋友杨某一起进入何某的房间。,497,25,5,497,23,sentence_fragment
进去后，邓某先后用网线、伸缩棍等物品对何某实施殴打，杨某亦用伸缩棍对何某实施殴打。,497,25,6,497,41,sentence_fragment
为发泄怨气，邓某逼迫何某脱光衣服，喝烟叶泡水，并用竹签刺其胸部，用衣架捅其下体。,497,25,7,497,40,sentence_fragment
之后，邓某、杨某将何某带至杨某的出租屋内，继续对何某实施殴打，并用饮料瓶、电视机底座捅，,497,25,8,497,44,sentence_fragment
接着，邓某又将何某带回何某自己的房间继续实施殴打并拍下何某裸照。,497,25,9,497,32,sentence_fragment
9时许，邓某等人才离开何某的住处。,497,25,10,497,17,sentence_fragment
