text,text_length,original_index,paragraph_index,original_text_length,paragraph_length,source_type
在被问到“是否相信知识可以改变命运”的时候，2017北京高考文科第一名熊轩昂说：高考是阶层性的考试，农村地区越来越很难考出来，我是中产家庭孩子，生在北京，在北京这种大城市能享受到的教育资源，决定了我在学习时能走很多捷径，能看到现在很多状元都是家里厉害，又有能力的人，所以有知识不一定改变命运，但是没有知识一定改变不了命运。<img data-rawheight前一段时间，有一本小说，叫北京折叠。我并没有看这本小说，只是看到这个书名，无奈又感觉哪里恰好契合的让我笑了一声。,403,15,0,403,236,split_paragraph
意思是不是我所想说的：割裂的北京。我和我的好朋友们，美其名曰实习工作，实则类似社会实践一样的在首都呆了不长不短的一段时间。这个年轻人，其实说出了割裂社会里，某一阶级优秀青年代表群的内心真实感受。大部分答案都是在感慨，啊呀，这个小孩这么小其实很通透啊。,403,15,1,403,125,split_paragraph
门票是免费的，广州有这点好，各大公园和部分博物馆免费进入，到其他城市，就无享受过这样的待遇。是一座中间大厅、绕以回廊、两层圆顶的建筑。它原是清末广东咨议局。辛亥革命后，广东人民在这里召开大会，宣布反清独立。1921年5月5日，孙中山就任非常大总统，在这里举行宣誓就职典礼。1925年9月底，成为中国国民党中央党部所在地。,426,16,0,426,160,split_paragraph
国民党第二次全国代表大会和第三次全国劳动大会等重要会议在这里召开，毛泽东主编《政治周报》时在这里办公，谭延闿、李富春主办的中国国民党政治讲习班和何香凝主办的中国国民党妇女运动讲习所在这里上课。它是大革命时期一个重要的革命旧址。该馆以广东人民革命斗争史为基本陈列，介绍从鸦片战争到全国解放这个历史时期广东人民为民族独立解放而进行英勇斗争的历史。其中以第一次国内革命战争时期为重点。,426,16,1,426,189,split_paragraph
善战者，无赫赫战功！市场走势，千变万化，与时俱进，跟随趋势，方能立足。一朵鲜花撑不起美丽的春天，同样一个人的力量也改变不了市场走势，只需在机会来临的时候踏上开往终点的列车，即可得到我们想要的利润。没有人可以回到过去重新开始，但所有的人都可以从现在开始，去书写一个全然不同的结局。原油技术分析：回顾昨日行情：原油昨日小幅高开，亚欧盘行情比较平稳，在小区间内来回震荡，至美盘原油行情大幅波动，上方触及310一线后，快速回落至昨日低点附近，再度反弹。,1906,18,0,1906,222,split_paragraph
整体上来看作者金赢先锋认为后续原油空头仍占据优势，操作上作者金赢先锋建议还是以高位做空为主，低多为辅。套有多单的朋友可以在下放关键支撑位附近加仓，待行情回调，解套出局，做单的朋友严格止损，做好风险控制。技术面上，原油从四小时走势图来看，布林带整体向下运行，上轨和中轨拐头向下，下轨相对走缓，K线价格在布林带中轨下方窄幅震荡，并受其压制。下方MACD指标在零轴下方形成死叉且继续向下运行，绿色动能柱仍在放量，RSI指标聚拢并拐头向上运行。,1906,18,1,1906,218,split_paragraph
综合来看，K线价格受布林带中轨和前期高点强力压制，下行势头强劲，但谨防下轨强力支撑，作者金赢先锋预计后续油价将小幅回升再震荡下行。操作上，先锋老师建议以高空为主，低多为辅。美原油操作建议：1、建议在45.7美元附近空单进场，止损0.5美元，目标看44.8美元附近2、建议在44.5美元附近多单进场，止损0.5美元，目标看45.5美元附近天然气行情分析：日线方面来看，均线系统逐渐下行，布林带张口扩大，行情运行于布林下轨上方附近。,1906,18,2,1906,214,split_paragraph
附图MACD快慢线下行发散，绿柱持续缩量，KDJ指标拐头向上，三线逐渐聚拢形成金叉。四小时图方面；5日均线拐头向下与10日均线粘合，布林带张口走平，行情运行在布林带中轨下方，附图MACD快慢线粘合运行，红色能量柱缩量，KDJ指标死叉下行发散。天然气操作建议：1、未破5060附近空单进，损40点，目标：4900，破位持有；2、未破4880附近多单进，损40点，目标：5050，破位持有；青西大宗天然气操作建议：1、首见4470附近多单进，损40点，目标：5620，破位持有；,1906,18,3,1906,237,split_paragraph
2、意外下破4450空单进，损40点，目标：4350，破位持有；白银行情分析：白银方面：从日线图来分析来看，日线连收三根阴线，5日均线有下穿10日均线之势，布林带张口有向下之势，行情运行在布林带上轨下方；,1906,18,4,1906,102,split_paragraph
作者先锋老师从四小时图来看，K线运行于布林带中轨下方，小时线布林带张口向下，KDJ指标运行于超买区，四小时收线不破布林带中轨压力可以布局空单，下方关注4135附近支撑，目前看回撤的态势仍没有改变，周线支撑在4100附近，短期压力在4220-4230区间，作者金盘先锋预计缠绕下行补跌，继续反弹做空为主，目前白银的价格在接近4220-4230附近时，激进者即可直接做空！白银操作建议：1、建议4220附近空单进场，止损30点，目标4150-4160；,1906,18,5,1906,224,split_paragraph
2、建议4140附近多单进场，止损30点，目标4180-4210；3、行情瞬息万变，实时做单联系请教本人。,1906,18,6,1906,53,split_paragraph
今日重点关注财经数据与事件 2016年 7月 20日 周三14:00 德国6月PPI月率16:00 欧元区5月季调后经常帐(亿欧元)16:30 英国6月失业率 英国6月失业金申请人数(万人) 英国5月三个月ILO失业率17:00 瑞士7月ZEW投资者信心指数22:00 美国至7月15日当周EIA原油库存(万桶) 不管你是做实仓，还是模拟，新手还是老手，套单、亏损、还是爆仓都请您调整好心态，尊重市场，跟上我的思路，让你在投资市场重拾信心，一展风采。,1906,18,7,1906,225,split_paragraph
我们不求一天翻仓、更不求一夜暴富，只求稳健盈利、落袋为安，稳健给单，诚信做人！想在投资中获利，真的没有捷径，只有像苦行僧一样，每日认真作功课，勤于积累，更多交流进除了能提供一些投资经验及学习方法以外，更希望能找到志同道合的投资朋友，一起努力研究，战胜行情，祝各路投资朋友摆脱散户永远输钱的宿命。也希望有更好的机遇为投资者提供良策。,1906,18,8,1906,165,split_paragraph
如需了解更多原油、沥青、天然气、豆油、贵金属等投资、交易手法、操作技巧以及K线等知识可以关注都可以添加微信:ZDLJ028，微信公号:jaykuaixun01现货快讯之家(长按可复制）进行交流学习。另外我还要说做投资最重要一点：点位到了就干！点位不到就看，做单需要勇气，持单需要勇气！成功不是靠运气，选择大于努力！,1906,18,9,1906,157,split_paragraph
后醍醐天皇策划的讨幕计划被事先发现，首谋者遭到了幕府的处理。虽然当年12月9日才改元为正中元年，但按照习惯史称正中之变。后醍醐天皇从元亨元年（1321年）起开始取代父亲后宇多法皇亲政，并致力于恢复记录庄园券契所。后宇多法皇临终之际下诏，因为皇太子邦良亲王为大觉寺统嫡流（邦良之父为后醍醐天皇兄长后二条天皇），后醍醐天皇有朝一日必须让位邦良亲王。元亨4年6月法皇刚刚驾崩，邦良亲王就立即为了逼后醍醐天皇让位而前往镰仓寻求幕府支持。,902,20,0,902,214,split_paragraph
另外持明院统也以邦良亲王即位后，量仁亲王接任皇太子为条件支持邦良的主张（根据之前文保和谈的约定），镰仓幕府也就决定未来按照这一准则决定皇位継承。然而后醍醐天皇期待着最终能够按照自己的想法施政，在得知自己的身份只不过是一个过渡性的天皇后，除了原本就反感的邦良亲王和持明院统，也对幕府的决定强烈反弹。因此后醍醐天皇计划趁六波罗探题南方・大佛维贞前往镰仓的时机讨幕，为此派侧近日野资朝和日野俊基等人巡回诸国，号召各地的武士和实权派起兵勤王讨幕。,902,20,1,902,219,split_paragraph
当时恶党活动正从几内向各地扩散，奥州的安藤氏之乱也正在加剧，北条得宗家正焦头烂额。后醍醐天皇应该就是打算利用当时的政局不稳，试图把承久之乱之后皇家一直以来的倒幕计划付诸实施。然而9月19日计划被六波罗探题知悉。尽管土岐赖员和多治见国长秘密上洛，但马上就被幕府派人搜捕，双方在四条附近激战，最终二人被逼自尽。六波罗的追查也波及到了朝廷。资朝・俊基等人被治罪，押解到镰仓。资朝被判流放佐渡岛，俊基被赦免归京，但之后被禁足。,902,20,2,902,209,split_paragraph
另一方面，后醍醐天皇派侧近万里小路宣房带着解释信前往镰仓，说明自己跟这次的事变无关，因而免于责罚。军记物语『太平记』在第一卷记述了正中之变的细节：倒幕的秘密会议是以无礼讲（不拘身份的宴会）的名义进行的。参与计划的土岐赖员在某一天夜里把计划泄露给了自己的妻子，而其岳父斋藤利行正是六波罗探题的奉行，倒幕计划因此流产。另外，西大寺的律宗僧人也参与了倒幕。,902,20,3,902,175,split_paragraph
与长颈妖怪相关的记载有干宝的《搜神记》，这本书是中国晋代著名的奇谭异闻录，其中提到南方的「落头氏」一族，是这种妖怪的原型，又名「飞头蛮」，此特征与辘轳首并不相同，辘轳首的脖子会突然伸长，但不是像飞头蛮那样，整颗头从脖子的部位与身体彻底分离。长颈妖怪依据精神的自主性，大致区分为两种，一种可以随自己的意念游走，自由飞翔的长颈妖怪；另一种则是无法控制自己会飘到何处，在无意识状态下浮游的长颈妖怪。,625,21,0,625,196,split_paragraph
可以随自己的意念游走的长颈妖怪，会潜入民宅将正在睡眠中的人勒毙，然后用尖锐的牙齿将对方啃蚀殆尽，甚至好几只聚在一起集体行动。由于长颈妖怪的头部和身体经常分离，在脖子的地方，有缠绕著红丝线的习惯，所以地方上有个不成文的禁忌「看到脖子缠红线的女人千万不能娶」，究其原因应该是害怕娶进门的老婆很可能是长颈妖怪的化身。有些人并不知道自己就是长颈妖怪，所以是在无意识的状态下受到某种外力驱使，尽管白天看起来同一般人没什么两样，一旦入夜之后，等到众人进入了梦乡，才会显出妖怪的真面目。,625,21,1,625,236,split_paragraph
首先是脖子突然伸长，接著头部从脖子的部位和身体彻底分离，这时候头部和身体会重新结合在一起，醒来后就像正常人一样行动。本人往往不记得妖怪形态时看到了什么，或做过了什么事。,625,21,2,625,84,split_paragraph
一个香港师父给我算八字后说我接下来会倒二十年霉！我才二十出头啊 ，这人生还有意思吗？他说我最好呆在家默默工作----------------第一次在问答社区问问题就这么多人回答我，好开心啊！大家的回答都好有帮助启示！至少题猪今天还是lucky day！----------------------------------------------------这两天这么多的回答 题主简直太感动有循循善诱 有一针见血 都十分激励我 改变了我很多想法！现在我懂了 天道酬勤 改变人生就是改变自己！,454,22,0,454,245,split_paragraph
原定4月16日首播，但播出一集以后就停播。补充书里一段黑我党的言论： 你用列宁的理论判我为贵族并不过分。列宁就是把穷人煽动起来打倒富人消灭富人，结果是富人被消灭了穷人仍然受穷。兆鹏学苏俄在白鹿原上煽动穷汉打倒财东，结果呢？堂堂的农协主任鹿黑娃堕落成了土匪，领着土匪抢银元，刀劈了俺爷又砸断了嘉轩叔的腰杆子作为农协主任没有达到的目的，当了土匪却轻而易举地达到了。你叫我还能信还能再入共产党吗？,238,23,0,238,195,split_paragraph
近日，邓某和杨某被宿松法院以寻衅滋事罪分别判处有期徒刑七个月、六个月。今年16岁的邓某是高二学生，2014年期间，被告人邓某得知被害人何某同其前男友吴某谈恋爱，遂对何某心生怨恨。10月中旬，邓某两次殴打何某，致何某轻微伤。11月3日，邓某同朋友杨某一起进入何某的房间。进去后，邓某先后用网线、伸缩棍等物品对何某实施殴打，杨某亦用伸缩棍对何某实施殴打。为发泄怨气，邓某逼迫何某脱光衣服，喝烟叶泡水，并用竹签刺其胸部，用衣架捅其下体。,497,25,0,497,215,split_paragraph
之后，邓某、杨某将何某带至杨某的出租屋内，继续对何某实施殴打，并用饮料瓶、电视机底座捅，甚至刮其体毛。接着，邓某又将何某带回何某自己的房间继续实施殴打并拍下何某裸照。9时许，邓某等人才离开何某的住处。经安徽省宿松县公安司法鉴定中心鉴定，何某的损伤程度为轻微伤。宿松县人民法院经审理后认为：被告人邓某、杨某随意殴打他人，情节恶劣，其行为已构成寻衅滋事罪。,497,25,1,497,176,split_paragraph
剁手节天喵买了瓶本利亚克Benriach经典斯佩塞之心，一路顺丰到手立马开瓶品尝，眠一口，比较平淡，没有强烈的消毒水味，喝不出泥煤味，没有烟熏，很容易入口，没有之前喝调和威士忌那般强烈。本人小白，味蕾没感受过单一麦芽，不甚了解。请问该喝多少单一麦芽威士忌才能分辨出里面的味道本利亚克这个牌子的口碑怎么样？斯佩塞出的单一麦芽是不是口味较轻，易于入门的？如何品尝威士忌请参见答案如何品尝威士忌？- 镜阳秋的回答 如果想大致了解一些常见的单一麦芽威士忌品牌，可以参考答案单一麦芽威士忌有哪些推荐？,384,31,0,384,245,split_paragraph
如果您想“玩得”深一些，还是要理论与实践相结合，仅仅多喝的话容易走弯路或者可能会行程一些主观的错误认识，相关参考书推荐请见答案学习关于红酒与威士忌等知识有哪些资料（书籍视频）推荐？,384,31,1,384,90,split_paragraph
迷妹一枚所有周遭看极挑的直男（甚至包括男票）都承认他很帅，很有好感。据说他的男饭也是茶蛋里最多的，发布会男饭大喊我爱你张艺兴，还有跟拍狗仔真心夸赞，甚至地铁大叔亲他海报更别说圈里的大哥小伙伴们了他出了名的讨人喜欢但这是为什么呢（请抓住直男这个重点哟）跟他的长相还是气质有关？我终于可以来回答这个问题了！毕竟一直念文科的我平时都接触不到男人！学工处老师们来检查卫生！一个男老师看到我的台历，拿起来：“这是那个小鲜肉叫什么来着那个” 旁边的其他老师和同学，以及我：“张艺兴。” 男老师：“啊对！,327,32,0,327,245,split_paragraph
这孩子特别好，特别单纯，面相看上去就很朴实。特别适合当男朋友，我要是老丈人，我也喜欢这样的女婿。,327,32,1,327,48,split_paragraph
但是想想其实还是有一定可读性的先给3星吧。用1个月的时间啃完此书。第一个感觉是Covey象其他的西方作者一样很会把一些比较陈旧的论点进行包装建立模型上升到理论高度所以老酒装新瓶。比如双赢啦、把事务通过重要度和紧急度分为4个区间都是些老掉牙的理论了。不过还是要肯定Covey的总结归纳能力的。关于翻译我一直以为是翻得很不错的至少读起来十分贴切和流畅。8过对一个词的翻译让我对整书翻译的准确性产生了怀疑。inside-out翻成了反求诸己但是反求诸己的意思应该是outside-in啊。,529,33,0,529,241,split_paragraph
我没有看过原著也没有动力看但是在这个词后看这本书不得不对翻译的准确程度有了怀疑。一些翻译实在是太中国化了以我看原著并翻译的经验来看多的令人难以置信。当然对整个框架从dependence 到independence 再到interdependence。整个理论框架的确令人耳目一新。最后谈谈书名高效人士的七个习惯其实与其说是给高效人士还不如说是给平衡生活或者幸福生活的因为文章通篇传达了对心灵和对自我价值的重新定义。,529,33,1,529,207,split_paragraph
不过本周最后一个交易日这样的升势有所放缓。金价连续上涨受到多重因素影响，金价未来走势如何，投资者仍然需要重点关注这些因素。下周(3月30日-4月3日当周)投资者需要关注中东局势的最新进展；重点需要关注美联储动态，以及最为重要的下周五美国 非农就业数据；同时关注实物黄金买盘的变动情况；另外对于希腊债务问题稍加留意。中东局势扑朔迷离，金价受益于避险支撑，投资者需要关注中东局势的进一步进展。阿拉伯世界纷争又起，全球金融市场避险情绪弥漫。,2468,34,0,2468,217,split_paragraph
本周三媒体报道称，沙特阿拉伯出动战机对也门胡塞反政府武装实施空袭，除了对首都萨那周边进行打击之外，也袭击了一个位于该国南部的军事基地。在发动空袭之后，沙特阿拉伯，阿拉伯联合酋长国，卡塔尔，科威特以及巴林这海湾合作组织六国中的五个成员国发表联合声明，称将在哈迪的请求下组成一个联盟对也门局势实施干预。现货金价也在避险情绪支撑下大幅走高。市场如何看待避险支撑呢？,2468,34,1,2468,179,split_paragraph
Price Futures Group的分析师Phil Flynn表示，“很多次，市场对类似事件立即作出强烈反应，但在对相关风险进行进一步研究后，人们开始长远地看待事件的影响。” 德国商业银行商品分析师Daniel Briesemann表示，“如果中东局势没有改善，金价可能进一步走强，但如果出现改善，金价可能跌穿1，200美元。”立博塔斯财富管理集团的总裁兼投资组合管理人Adam Koos说，“虽然地缘政治因素总是能够带来短期的价格波动，但是美元才是投资者们应该关注的东西。,2468,34,2,2468,239,split_paragraph
如果你看到美元下面的陷阱已经打开，那么几乎可以肯定的是，黄金价格将会更大幅度地向上运动。如果美元重归上涨，那么金价的涨势不能持续。”美联储加息忧虑放缓，美元回落也支撑金价，投资者最需要关注美联储动态和美国经济数据。市场对美联储至少在9月前不会升息的预期增强。一项调查显示，华尔街主要银行对美联储升息时机的普遍预期已转变为，联储在至少9月前不会升息。美联储副主席费希尔称，市场“广泛预期”联储将在今年开始升息，不过，政策路径仍不明朗。,2468,34,3,2468,216,split_paragraph
Logic Advisors的合伙人兼联合创始人Bill O'Neill在谈到现货金在费希尔讲话后续涨时表示。“这是个短期因素。这可能巩固了上周美联储的声明。我认为短期内不会升息。” 花旗的分析师David Wilson表示，“所有看空金市的投资者对6月升息希望破灭非常失望，因此，目前市场臆测将集中在下一次升息的时间上。”总体来看，近来美国公布的经济数据总体疲软也对金价构成了一定的支撑。其中，本周美国2月耐用品订单意外下滑，令金价得到支撑。,2468,34,4,2468,222,split_paragraph
在美国商务部报告称美国2月份经过季节性因素调整之后的耐用品订单下降1.4%之后，金价继续攀升。令人失望的经济数据降低了近期内加息的可能性。另外本周美国四季度GDP终值数据表现也不及预期。具体数据显示，美国去年四季度实际GDP终值年化月率增长2.2%，预期增长2.4%，修正值增长2.2%。下周美国非农报告袭来。CMC市场的首席市场策略师Colin Cieszynski说，黄金价格在过去几周上涨的背后，一个主要的推动因素是欧洲央行的量化宽松项目。,2468,34,5,2468,223,split_paragraph
他说，欧洲央行行长德拉基的发言“显示这个项目目前为止进展顺利，这对于黄金价格是有支持作用的”。新德里交易顾问企业英西格尼亚的首席市场分析师Chintan Karnani表示，“我认为交易员们其实是在寻找做空黄金和白银的机会，交易员并没有被说服黄金和白银价格的涨势能够持续。”奥塔维斯特世界贸易公司的联合创始人Erik Gebhard指出，展望未来一周，交易员们将会关注下周五的3月非农就业报告，下周一的2月核心个人消费物价指数。,2468,34,6,2468,214,split_paragraph
他强调，“就业和通货膨胀数据是联储看重的关键指标，它们都会影响到决策制定者们对何时加息的考量。”实物金买盘不断减少，避险对金价的支撑难持久。本周实物黄金买盘不断减少，表明基金投资人以及亚洲投资人对黄金兴趣降低，也凸显了金价后市或难有重大支撑。贵金属交易商MKS在报告中指出，在目前的价格水准亚洲实货黄金需求减少，未像之前那样支撑市场。金价处于1，145-1，155美元左右时，亚洲实货黄金需求曾支撑市场。本周实货需求也在放缓，受金价上涨拖累。,2468,34,7,2468,221,split_paragraph
显示实货需求的中国黄金溢价降至约2-3美元，上周为6-7美元。中国为全球第二大黄金消费国。全球最大黄金支持上市交易基金(ETF)SPDR Gold Trust 持金量持续流出。本周全球最大黄金ETF--SPDR Gold Trust 持仓也持续流出，这显示投资人对金价升势保持谨慎。希腊忧虑挥之不去，市场对希腊最终能够达成援助协议的乐观情绪暂时未给金价带来进一步支撑。希腊方面的不安情绪似乎对欧元的打压有限。,2468,34,8,2468,204,split_paragraph
RBS Securities美国公债策略师Ed Atkins表示，“市场对希腊而言无疑是非常重要的。不安情绪高涨，但仍对希腊将同债权人找到解决办法感到乐观。”希腊政府官员称已经向债权人发送了改革措施清单。CNCB周五报道，希腊政府官员称已经向债权人发送了各方期待已久的改革措施清单，希望通过一个在2015年实现小规模预算盈余的承诺来换取该国迫切需要的现金注入。,2468,34,9,2468,180,split_paragraph
一名欧元区官员说，被称为布鲁塞尔集团的欧盟和国际货币基金组织团队将从周五晚些时候开始讨论这份清单，不过也有一名希腊官员称评估应该会在周六进行。一旦获得他们的批准，并得到欧元区财政部长们的赞同，希腊将会获得援助项目下一批款项的发放，从而避免可能的破产局面。不过也有众多人士对希腊的未来局势表现担忧。GoldCore公司董事Mark O’Byrne表示：“由于担心希腊爆发债务危机，黄金将会得到这一潜在因素的持续支撑。希腊债务问题的爆发看起来很快就会发生了。,2468,34,10,2468,227,split_paragraph
现在二十岁 在上大学，挺喜欢看书，但读过一些之后发现有些迷茫，因为我也不知道在这个年纪应该看一些什么样的书大学毕业到出国，有一年的间隔年。这年除了旅游，最重要的事是，把我家和我爸办公室几架子的书看完了。然后，竟是从来没有过的脑子清楚。当时并没有找固定类型的书看，除了家人特别推荐的，就是按摆放的顺序，一本一本看，一排一排看。很多书看完会忘，但有三本，我一定要推荐。NO.1 稻盛和夫 活法 看这本书之前，一定要了解稻盛和夫是谁。,256,35,0,256,214,split_paragraph
据悉，冯小刚的前妻名叫张娣，是北京某医院的一名护士。冯小刚早年曾在北京城建开发总公司当工会干事，偶然之中与前来公司探望亲戚的张娣相识，他对张娣一见钟情，由此展开热烈的追求，最终张娣与冯小刚成为夫妻。据冯小刚撰写的《我把青春献给你》一书中披露，他跟徐帆是1993年拍摄《大撒把》时开始相恋的，1999年两人才喜结良缘，张娣和冯小刚是1999年离婚的。冯小刚的前妻很有个性，当她发现丈夫和徐帆的恋情后，不吵不闹，听之任之，拖着他们两人，让徐帆特别难受，后来张娣见冯小刚难以回心转意才同意离婚。,826,37,0,826,244,split_paragraph
"一个如此有个性的女人究竟长啥样子？小编注意到，此前媒体一直没有报道过。下面就让我们一起来看看最近网络中曝光的一张张娣的近照吧。冯小刚前妻张娣照片曝光当然，至于“气质不输现任太太徐帆”的说法，大家可以看看比对一下，小编相信每个人都会有自己的答案。近日，导演冯小刚忙个不停，一会儿搞电影一会儿录节目。网友们对冯导的关注也可以说是全方位的了，不仅关心他的电影、他的节目，同时也很关心他的个人生活。而早前，也有大量关于冯小刚与徐帆婚姻破裂，""分居门""、""离婚门""等消息也是传的沸沸扬扬。",826,37,1,826,239,split_paragraph
"冯小刚徐帆夫妇前段时间，徐帆出现在《花样姐姐》的节目发布会上，就网友拿冯小刚前妻照片与她对比的事情做出了回应。徐帆表示，对这件事没什么感觉，无非是网友拿她们开个玩笑而已。到底是久经娱乐圈的人物，这些小风小浪看来对徐帆是丝毫不构成影响。机智的冯导对这些消息也进行了澄清，并调侃着说道:""我们让大家失望了""。【趣味测试：极度恐怖诡异的图片！一般人是看不出的】这张照片看似普通，其实有很多诡异之处，你看出几处了？看出4处的观察力还不错，看出6处的观察力很厉害，看出8处的就很了不起了，10处以上嘛……嘿嘿！",826,37,2,826,250,split_paragraph
日前科技部发布了“新能源汽车”试点专项2017年度项目申报指南，2017年拟在6个技术方向启动19至38个项目，拟安排国拨经费总概算为11.2亿元，涉及动力电池和电池管理系统、电机驱动、汽车智能化等方面。这些方面都是电动汽车的核心技术。很明显，国家是希望我们自己的企业能够自主研发掌握这些核心技术，减少对外界技术力量的依赖。据悉，凡企业牵头的项目须自筹配套经费，配套经费总额与国拨经费总额比例不低于1：1。,1664,39,0,1664,203,split_paragraph
而近日，经历了骗补风波后，北京市经济和信息化委员会发布了《关于2016年北京市拟拨付第三批新能源汽车财政补助资金的公示》。2016年北京市拟拨付第三批新能源汽车补助资金共涉及4726辆，拟拨付资金57329.451万元。相比于前两批，总金额依旧有所增长。第三批获得财政补助的企业有这些：重庆长安汽车股份有限公司，84辆纯电动乘用车获得378万补助资金；北京汽车股份有限公司，2521辆纯电动乘用车11346.5万补助资金、1175辆纯电动专用车6230.436万补助资金；,1664,39,1,1664,236,split_paragraph
北汽福田汽车股份有限公司，814辆纯电动客车37650万补助资金、126辆纯电动专用车1597.32万补助资金；北京现代汽车有限公司，1辆纯电动乘用车4.75万补助资金；江苏九龙汽车制造有限公司，5辆纯电动客车149.445万补助资金。到目前为止，三批补助名单总共覆盖16700辆纯电动车，补助资金总额达到139141.241万元。这么多钱，电动君表示想都不敢想。,1664,39,2,1664,182,split_paragraph
部分企业业绩受累“骗补”事件国内新能源汽车正经历一场大变局，9月份，五家公司被财政部通报涉嫌恶意骗补，不仅将被财政部追回中央财政预拨资金，而且还将受到行政处罚的罚款。而受“骗补”事件的影响，9月新能源汽车市场增长速度出现大幅下跌，新能源汽车产销同比分别仅增长25.7%和43.8%，而部分企业的业绩也受到影响。目前网络上出现一份名为《国内新能源汽车制造企业骗补违规谋补汇总表》的名单，几乎涉及了国内所有从事新能源汽车生产和销售的整车企业。,1664,39,3,1664,219,split_paragraph
